Country,Year,Value
Canada,2012,3774
Canada,2020,6832
Canada,2019,7196
Canada,1983,581
Canada,2015,4754
Canada,2014,4275
Canada,2013,3806
Canada,1992,1683
Canada,1991,1624
Canada,1990,1572
Canada,2023,7964
Canada,2022,7422
Canada,2011,3845
Canada,2010,3409
Canada,2009,3527
Canada,2008,5817
Canada,2007,5510
Canada,2006,5576
Canada,2005,4707
Canada,2004,4173
Canada,2003,3126
Canada,2002,1823
Canada,2001,1665
Canada,2000,2874
Canada,1999,3235
Canada,1998,3261
Canada,1997,2753
Canada,1996,2472
Canada,1995,2281
Canada,2018,6717
Canada,1981,432
Canada,1980,361
Canada,1994,2179
Canada,2016,5051
Canada,1982,475
Canada,1979,313
Canada,1978,278
Canada,2017,5563
Canada,1993,1940
Canada,1977,244
Canada,1976,216
Canada,1989,1393
Canada,1988,1315
Canada,1987,1072
Canada,1986,986
Canada,1985,785
Canada,1984,686
France,2010,4024
France,2015,4843
France,2014,4602
France,2013,4496
France,2022,7662
France,2023,8179
France,2021,6963
France,2020,6565
France,2019,6419
France,2018,6027
France,2017,5702
France,2016,5237
France,2009,3719
France,2008,3769
France,2007,3460
France,2006,3429
France,2005,3230
France,2004,3130
France,2003,2952
France,2002,3004
France,2001,3161
France,2000,3230
France,1999,2842
France,1998,2588
France,1997,2308
France,1996,2126
France,1995,1990
France,1994,1877
France,1993,1821
France,1992,1866
France,1979,870
France,1978,812
France,1981,949
France,1980,941
France,1991,1729
France,1990,1743
France,1989,1666
France,1988,1503
France,1987,1355
France,1986,1296
France,1985,1223
France,1984,1144
France,1983,1046
France,1982,982
France,2012,4426
United Kingdom,2021,5867
United Kingdom,2012,5026
United Kingdom,2011,5407
United Kingdom,1999,3943
United Kingdom,2020,6479
United Kingdom,2019,6720
United Kingdom,2018,6695
United Kingdom,2017,6504
United Kingdom,2016,5802
United Kingdom,2015,5794
United Kingdom,2014,6062
United Kingdom,2013,5385
United Kingdom,2000,4821
United Kingdom,1998,3927
United Kingdom,1997,3465
United Kingdom,2010,5410
United Kingdom,2009,5643
United Kingdom,2008,5750
United Kingdom,2007,5741
United Kingdom,2006,5097
United Kingdom,2005,5091
United Kingdom,2004,4890
United Kingdom,2003,5352
United Kingdom,2002,4511
United Kingdom,2001,4410
United Kingdom,2023,5681
United States,2022,181333
United States,2021,159139
United States,2020,135785
United States,2019,124180
United States,2018,100032
United States,2017,88759
United States,2016,80241
Canada,2021,6602
France,2011,4129
United Kingdom,2022,5881
United States,2015,68670
