Country,Year,Value
Canada,1997,
France,1997,3.297690602
Germany,1997,4.307841682
Italy,1997,3.882095343
Japan,1997,5.239488735
Spain,1997,4.288100877
United Kingdom,1997,6.439550873
United States,1997,6.604460049
Canada,1998,
France,1998,3.160598955
Germany,1998,4.05882382
Italy,1998,4.23157172
Japan,1998,5.048113933
Spain,1998,4.186774042
United Kingdom,1998,6.293634158
United States,1998,6.914628178
Canada,1999,
France,1999,3.300087159
Germany,1999,4.568754694
Italy,1999,4.311707608
Japan,1999,5.025035511
Spain,1999,3.883798522
United Kingdom,1999,6.112640523
United States,1999,6.883766607
Canada,2000,
France,2000,3.553259945
Germany,2000,3.809058723
Italy,2000,4.493397117
Japan,2000,5.003177893
Spain,2000,3.919736738
United Kingdom,2000,5.934034188
United States,2000,7.147780128
Canada,2001,
France,2001,3.195551265
Germany,2001,3.790519829
Italy,2001,4.623072908
Japan,2001,5.487893534
Spain,2001,4.249470011
United Kingdom,2001,5.817726533
United States,2001,7.44827754
Canada,2002,
France,2002,3.201477967
Germany,2002,4.080580743
Italy,2002,4.33607031
Japan,2002,5.97614355
Spain,2002,4.236245972
United Kingdom,2002,5.898497531
United States,2002,7.298553331
Canada,2003,
France,2003,3.12638845
Germany,2003,4.514795989
Italy,2003,4.657521227
Japan,2003,6.188023481
Spain,2003,4.088288901
United Kingdom,2003,6.106884182
United States,2003,7.25364448
Canada,2004,
France,2004,3.266496579
Germany,2004,4.98094233
Italy,2004,4.517413107
Japan,2004,6.063155541
Spain,2004,4.094137728
United Kingdom,2004,6.672503491
United States,2004,7.043092286
Canada,2005,
France,2005,3.31476838
Germany,2005,4.816593642
Italy,2005,4.711644816
Japan,2005,6.076441704
Spain,2005,4.034491155
United Kingdom,2005,7.275644165
United States,2005,7.390223915
Canada,2006,
France,2006,3.36160351
Germany,2006,4.606624405
Italy,2006,4.699697576
Japan,2006,5.87000173
Spain,2006,4.132138479
United Kingdom,2006,7.762911012
United States,2006,7.467985093
Canada,2007,6.858317471
France,2007,3.38155743
Germany,2007,4.163959059
Italy,2007,5.074339534
Japan,2007,5.821502936
Spain,2007,4.448276214
United Kingdom,2007,8.076913864
United States,2007,7.065255708
Canada,2008,6.72385294
France,2008,3.153246707
Germany,2008,3.790815854
Italy,2008,4.9425364
Japan,2008,4.956066778
Spain,2008,4.692511542
United Kingdom,2008,7.546310241
United States,2008,5.877476296
Canada,2009,6.67878376
France,2009,3.443683006
Germany,2009,4.438628065
Italy,2009,4.664887494
Japan,2009,5.013229929
Spain,2009,5.159041557
United Kingdom,2009,8.83560326
United States,2009,6.649683387
Canada,2010,6.658871773
France,2010,3.946544897
Germany,2010,4.408996736
Italy,2010,4.743307976
Japan,2010,4.84627439
Spain,2010,3.82901095
United Kingdom,2010,8.646404564
United States,2010,6.564792749
Canada,2011,6.602809483
France,2011,3.706389872
Germany,2011,4.324825952
Italy,2011,4.78298588
Japan,2011,4.688763007
Spain,2011,3.644087621
United Kingdom,2011,8.28255914
United States,2011,6.498730453
Canada,2012,6.367827075
France,2012,3.649015243
Germany,2012,4.352337897
Italy,2012,4.827158577
Japan,2012,4.488478638
Spain,2012,3.874169373
United Kingdom,2012,7.993569526
United States,2012,7.090069042
Canada,2013,6.481072122
France,2013,3.814041433
Germany,2013,4.159761167
Italy,2013,5.05288878
Japan,2013,4.565278673
Spain,2013,3.282789874
United Kingdom,2013,7.941175315
United States,2013,6.718615349
Canada,2014,6.589108817
France,2014,3.852831161
Germany,2014,4.024326923
Italy,2014,5.261167646
Japan,2014,4.39134868
Spain,2014,3.530683412
United Kingdom,2014,7.84310883
United States,2014,7.179272226
Canada,2015,6.920777858
France,2015,3.795004964
Germany,2015,4.046959312
Italy,2015,5.097573304
Japan,2015,4.275263771
Spain,2015,3.416207346
United Kingdom,2015,7.307413547
United States,2015,7.364791444
Canada,2016,6.775493882
France,2016,3.656582039
Germany,2016,3.826651774
Italy,2016,4.832541058
Japan,2016,4.089703849
Spain,2016,3.476148453
United Kingdom,2016,7.681489422
United States,2016,7.639364564
Canada,2017,6.731815377
France,2017,3.285087079
Germany,2017,3.640678332
Italy,2017,4.563750041
Japan,2017,4.037803328
Spain,2017,3.465826342
United Kingdom,2017,7.918819947
United States,2017,7.564321188
Canada,2018,6.579981437
France,2018,3.441499543
Germany,2018,3.509397779
Italy,2018,4.488502397
Japan,2018,4.085172541
Spain,2018,3.67399833
United Kingdom,2018,7.574580543
United States,2018,7.661754049
Canada,2019,6.567878203
France,2019,3.22138726
Germany,2019,3.563317567
Italy,2019,4.446986109
Japan,2019,4.049715474
Spain,2019,3.49769883
United Kingdom,2019,7.319506822
United States,2019,7.813827672
Canada,2020,6.957222317
France,2020,3.442941786
Germany,2020,3.721018547
Italy,2020,4.881821501
Japan,2020,4.203882046
Spain,2020,4.070530475
United Kingdom,2020,7.921041547
United States,2020,8.186822185
Canada,2021,
France,2021,3.397457113
Germany,2021,3.79163652
Italy,2021,4.212927449
Japan,2021,4.245098461
Spain,2021,3.764142345
United Kingdom,2021,8.076091713
United States,2021,8.151512546
Canada,2022,
France,2022,3.305759697
Germany,2022,3.369020069
Italy,2022,4.500502215
Japan,2022,4.540189645
Spain,2022,3.875209391
United Kingdom,2022,7.928031197
United States,2022,
Canada,2023,
France,2023,2.563116516
Germany,2023,3.403136983
Italy,2023,5.169498479
Japan,2023,
Spain,2023,4.930842728
United Kingdom,2023,
United States,2023,
