Country,Year,Value
Canada,1997,
France,1997,3.30%
Germany,1997,4.31%
Italy,1997,3.88%
Japan,1997,5.24%
Spain,1997,4.29%
United Kingdom,1997,6.44%
United States,1997,6.60%
Canada,1998,
France,1998,3.16%
Germany,1998,4.06%
Italy,1998,4.23%
Japan,1998,5.05%
Spain,1998,4.19%
United Kingdom,1998,6.29%
United States,1998,6.91%
Canada,1999,
France,1999,3.30%
Germany,1999,4.57%
Italy,1999,4.31%
Japan,1999,5.03%
Spain,1999,3.88%
United Kingdom,1999,6.11%
United States,1999,6.88%
Canada,2000,
France,2000,3.55%
Germany,2000,3.81%
Italy,2000,4.49%
Japan,2000,5.00%
Spain,2000,3.92%
United Kingdom,2000,5.93%
United States,2000,7.15%
Canada,2001,
France,2001,3.20%
Germany,2001,3.79%
Italy,2001,4.62%
Japan,2001,5.49%
Spain,2001,4.25%
United Kingdom,2001,5.82%
United States,2001,7.45%
Canada,2002,
France,2002,3.20%
Germany,2002,4.08%
Italy,2002,4.34%
Japan,2002,5.98%
Spain,2002,4.24%
United Kingdom,2002,5.90%
United States,2002,7.30%
Canada,2003,
France,2003,3.13%
Germany,2003,4.51%
Italy,2003,4.66%
Japan,2003,6.19%
Spain,2003,4.09%
United Kingdom,2003,6.11%
United States,2003,7.25%
Canada,2004,
France,2004,3.27%
Germany,2004,4.98%
Italy,2004,4.52%
Japan,2004,6.06%
Spain,2004,4.09%
United Kingdom,2004,6.67%
United States,2004,7.04%
Canada,2005,
France,2005,3.31%
Germany,2005,4.82%
Italy,2005,4.71%
Japan,2005,6.08%
Spain,2005,4.03%
United Kingdom,2005,7.28%
United States,2005,7.39%
Canada,2006,
France,2006,3.36%
Germany,2006,4.61%
Italy,2006,4.70%
Japan,2006,5.87%
Spain,2006,4.13%
United Kingdom,2006,7.76%
United States,2006,7.47%
Canada,2007,6.86%
France,2007,3.38%
Germany,2007,4.16%
Italy,2007,5.07%
Japan,2007,5.82%
Spain,2007,4.45%
United Kingdom,2007,8.08%
United States,2007,7.07%
Canada,2008,6.72%
France,2008,3.15%
Germany,2008,3.79%
Italy,2008,4.94%
Japan,2008,4.96%
Spain,2008,4.69%
United Kingdom,2008,7.55%
United States,2008,5.88%
Canada,2009,6.68%
France,2009,3.44%
Germany,2009,4.44%
Italy,2009,4.66%
Japan,2009,5.01%
Spain,2009,5.16%
United Kingdom,2009,8.84%
United States,2009,6.65%
Canada,2010,6.66%
France,2010,3.95%
Germany,2010,4.41%
Italy,2010,4.74%
Japan,2010,4.85%
Spain,2010,3.83%
United Kingdom,2010,8.65%
United States,2010,6.56%
Canada,2011,6.60%
France,2011,3.71%
Germany,2011,4.32%
Italy,2011,4.78%
Japan,2011,4.69%
Spain,2011,3.64%
United Kingdom,2011,8.28%
United States,2011,6.50%
Canada,2012,6.37%
France,2012,3.65%
Germany,2012,4.35%
Italy,2012,4.83%
Japan,2012,4.49%
Spain,2012,3.87%
United Kingdom,2012,7.99%
United States,2012,7.09%
Canada,2013,6.48%
France,2013,3.81%
Germany,2013,4.16%
Italy,2013,5.05%
Japan,2013,4.57%
Spain,2013,3.28%
United Kingdom,2013,7.94%
United States,2013,6.72%
Canada,2014,6.59%
France,2014,3.85%
Germany,2014,4.02%
Italy,2014,5.26%
Japan,2014,4.39%
Spain,2014,3.53%
United Kingdom,2014,7.84%
United States,2014,7.18%
Canada,2015,6.92%
France,2015,3.80%
Germany,2015,4.05%
Italy,2015,5.10%
Japan,2015,4.28%
Spain,2015,3.42%
United Kingdom,2015,7.31%
United States,2015,7.36%
Canada,2016,6.78%
France,2016,3.66%
Germany,2016,3.83%
Italy,2016,4.83%
Japan,2016,4.09%
Spain,2016,3.48%
United Kingdom,2016,7.68%
United States,2016,7.64%
Canada,2017,6.73%
France,2017,3.29%
Germany,2017,3.64%
Italy,2017,4.56%
Japan,2017,4.04%
Spain,2017,3.47%
United Kingdom,2017,7.92%
United States,2017,7.56%
Canada,2018,6.58%
France,2018,3.44%
Germany,2018,3.51%
Italy,2018,4.49%
Japan,2018,4.09%
Spain,2018,3.67%
United Kingdom,2018,7.57%
United States,2018,7.66%
Canada,2019,6.57%
France,2019,3.22%
Germany,2019,3.56%
Italy,2019,4.45%
Japan,2019,4.05%
Spain,2019,3.50%
United Kingdom,2019,7.32%
United States,2019,7.81%
Canada,2020,6.96%
France,2020,3.44%
Germany,2020,3.72%
Italy,2020,4.88%
Japan,2020,4.20%
Spain,2020,4.07%
United Kingdom,2020,7.92%
United States,2020,8.19%
Canada,2021,
France,2021,3.40%
Germany,2021,3.79%
Italy,2021,4.21%
Japan,2021,4.25%
Spain,2021,3.76%
United Kingdom,2021,8.08%
United States,2021,8.15%
Canada,2022,
France,2022,3.31%
Germany,2022,3.37%
Italy,2022,4.50%
Japan,2022,4.54%
Spain,2022,3.88%
United Kingdom,2022,7.93%
United States,2022,
Canada,2023,
France,2023,2.56%
Germany,2023,3.40%
Italy,2023,5.17%
Japan,2023,
Spain,2023,4.93%
United Kingdom,2023,
United States,2023,
