Country,Year,Value
Italy,2016,-0.595193276
United Kingdom,2014,-1.020883716
France,1981,11.51413945
France,1989,9.227573929
Germany,1993,5.104409775
Spain,1996,3.926953179
Japan,1996,1.886231992
France,1997,-2.592420151
United States,2020,2.855914973
Italy,2020,0.697727706
United Kingdom,2003,3.43769578
Italy,2003,1.143040563
Spain,2004,9.583720803
Japan,2004,-0.320031292
Germany,2001,5.952468334
United States,2005,8.941622676
France,2005,0.451783086
Canada,2021,4.095944987
Germany,2009,-3.996424607
Spain,2012,-6.735467651
Japan,2012,2.059570332
Spain,2020,4.901041535
Japan,2020,4.82733207
United Kingdom,2011,-5.086175517
Italy,2011,1.496495057
United States,2019,3.415076058
Italy,2019,0.772754364
France,1973,12.7497744
Germany,2018,-7.260142319
Canada,2020,3.090956403
France,2020,-4.13014692
United States,2013,-5.727010007
France,2013,0.003495444
Canada,2013,3.942313477
Germany,2017,4.550153236
United Kingdom,1995,3.575040675
Italy,1995,-5.412197009
France,2021,14.18705604
France,1972,5.863888636
France,1971,6.429747264
France,1974,16.70477933
France,1979,5.839737936
France,1977,-2.311502477
France,1982,1.917270161
France,1980,8.710791024
France,1985,-0.437106442
France,1987,3.492158073
France,1988,3.954186544
Germany,1992,2.350984494
France,1990,-4.717493662
France,1993,5.71680196
Japan,1995,-4.973990887
France,1995,-4.922461771
Germany,1994,0.544519754
France,1996,1.718193529
United Kingdom,1996,4.435616684
Italy,1996,4.468729031
United States,1998,10.38328789
France,1998,3.63459075
United Kingdom,1999,-0.773934312
Italy,1999,-4.600641997
Germany,1999,7.510839009
Germany,1997,1.195525416
Japan,1997,1.765097876
Spain,1997,5.152596116
United Kingdom,2022,0.664643667
Italy,2014,-0.563706473
Spain,2014,-4.215940775
Japan,2014,-0.323176982
Germany,2014,-5.124591681
United Kingdom,1992,-1.777901029
Italy,1992,0.276722307
Germany,2019,1.578503317
Germany,2020,-0.871489208
Spain,2022,2.947189097
Germany,2022,4.196008547
Canada,2022,1.245838467
Japan,2000,0.073924702
Spain,2000,9.307507097
