Year,Currency and deposits,Debt securities,Loans,Equity and investment fund shares,"Insurance, pension schemes",Financial derivatives,Total financial assets
1987,67995,5260,79744,17191,1010,-138,172019
1988,34576,5138,103816,19230,1326,-142,166607
1989,43621,26966,119116,33972,1999,-315,228627
1990,56553,21218,89448,17003,2075,-359,187534
1991,-37937,28716,55805,34420,2596,-242,85913
1992,34118,69586,33947,3545,2648,-1367,142384
1993,19597,108158,68849,28869,2901,-237,228629
1994,79359,12692,1519,23805,3728,-2372,120441
1995,35548,80728,114104,18557,4415,-1684,258323
1996,117152,87391,205592,20807,4170,-978,438351
1997,180507,73736,165403,16883,4021,-1156,436891
1998,45655,69906,25072,14240,4357,3007,165642
1999,-12519,51983,127786,53952,4432,-2727,227067
2000,228725,44437,225410,106169,5134,-1663,604946
2001,166760,139958,152200,87658,5694,-8601,552559
2002,138970,-6318,159605,5638,5206,-1205,318565
2003,291147,60982,330255,5275,6113,5263,729393
2004,376956,148692,395760,50642,6918,9672,993701
2005,461842,114769,445513,90508,8437,-3307,1121399
2006,575598,287485,443493,91743,8415,-20737,1436954
2007,642859,183811,711000,50617,9160,29808,1608641
2008,-87006,22296,-123787,3112,9570,125792,-65396
2009,323498,320208,-168360,170793,9483,-29715,614291
2010,117510,60989,64984,84543,10426,-50136,270232
2011,150417,-23002,-12574,-36251,10227,16304,107883
2012,51848,53884,-10532,53390,10328,-42499,127369
2013,-215220,-2145,30568,-5948,10461,35502,-147452
2014,-205404,105159,-100847,32767,8385,22305,-139809
2015,-207594,-51866,58251,-27153,8318,-82810,-305834
2016,272360,-61743,111520,-26781,12104,10585,326338
2017,426218,40638,302318,84564,7529,4926,871268
2018,208173,38450,276153,-221099,8845,4220,312836
2019,-329074,108010,43073,56480,8060,-864,-113825
2020,800079,351727,290780,54041,28583,32548,1562938
2021,720504,129411,313363,-73782,10035,-30929,1067253
2022,157503,148489,31561,-161165,7322,-59409,145750
2023,-311338,300305,153250,140899,7642,1935,300982
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
