Country,Year,Value
Canada,2015,4754
Canada,2016,5051
Canada,2014,4275
Canada,2012,3774
Canada,2011,3845
Canada,2023,7964
Canada,2022,7422
Canada,2021,6602
Canada,2020,6832
Canada,2019,7196
Canada,2018,6717
Canada,2017,5563
Canada,2008,5817
Canada,2007,5510
Canada,2006,5576
Canada,2005,4707
Canada,2004,4173
Canada,2003,3126
Canada,2002,1823
Canada,2001,1665
Canada,2000,2874
Canada,1999,3235
Canada,1998,3261
Canada,1997,2753
Canada,1996,2472
Canada,1995,2281
Canada,1994,2179
Canada,1993,1940
Canada,1992,1683
Canada,1991,1624
Canada,1979,313
Canada,2010,3409
Canada,2009,3527
Canada,1989,1393
Canada,1990,1572
Canada,1978,278
Canada,1977,244
Canada,1976,216
Canada,2013,3806
Canada,1988,1315
Canada,1987,1072
Canada,1986,986
Canada,1985,785
Canada,1984,686
Canada,1983,581
Canada,1982,475
Canada,1981,432
France,2009,3719
France,2014,4602
France,2013,4496
France,1982,982
France,2021,6963
France,2023,8179
France,2020,6565
France,2019,6419
France,2018,6027
France,2017,5702
France,2016,5237
France,2015,4843
France,2008,3769
France,2007,3460
France,2006,3429
France,2005,3230
France,2004,3130
France,2003,2952
France,2002,3004
France,2001,3161
France,2000,3230
France,1999,2842
France,1998,2588
France,1997,2308
France,1996,2126
France,1995,1990
France,1994,1877
France,1993,1821
France,1992,1866
France,2022,7662
France,1981,949
France,1980,941
France,1979,870
France,1978,812
France,1991,1729
France,1990,1743
France,1989,1666
France,1988,1503
France,1987,1355
France,1986,1296
France,1985,1223
France,1984,1144
France,1983,1046
France,2012,4426
France,2011,4129
United Kingdom,2022,5881
United Kingdom,2013,5385
United Kingdom,2012,5026
United Kingdom,2011,5407
United Kingdom,2021,5867
United Kingdom,2020,6479
United Kingdom,2019,6720
United Kingdom,2018,6695
United Kingdom,2017,6504
United Kingdom,2016,5802
United Kingdom,2015,5794
United Kingdom,2014,6062
United Kingdom,2000,4821
United Kingdom,1999,3943
United Kingdom,1998,3927
United Kingdom,1997,3465
United Kingdom,2010,5410
United Kingdom,2009,5643
United Kingdom,2008,5750
United Kingdom,2007,5741
United Kingdom,2006,5097
United Kingdom,2005,5091
United Kingdom,2004,4890
United Kingdom,2003,5352
United Kingdom,2002,4511
United Kingdom,2001,4410
Japan,1999,1143700
Japan,1987,248900
Japan,1986,218700
Japan,1985,152600
Japan,2010,1758700
Japan,2009,1884800
Japan,2008,1522300
Japan,1992,743200
Japan,1991,697800
Japan,1990,634200
Japan,1989,516800
Japan,1988,365100
Japan,1998,1147900
Japan,1984,130900
Japan,1983,106000
Japan,1982,86800
Japan,1981,74000
Japan,1980,64700
Japan,1993,711500
Japan,2022,1686100
Japan,2021,1624800
Japan,2020,1571100
Japan,2019,1665500
Japan,2018,1605600
Japan,2017,1624300
Japan,2016,1642300
Japan,2015,1671700
Japan,2014,1602800
Japan,2013,1593500
Japan,2012,1563500
Japan,2011,1520700
Japan,1997,957900
Japan,1996,905300
Japan,1995,718000
Japan,1994,656100
Japan,2007,1452800
Japan,2006,1511100
Japan,2005,1545200
Japan,2004,1802800
Japan,2003,1769300
Japan,2002,1609000
Japan,2001,1517200
United States,2017,88759
United States,2016,80241
United States,2015,68670
United States,2022,181333
United States,2021,159139
United States,2020,135785
United States,2019,124180
Canada,1980,361
France,2010,4024
United Kingdom,2023,5681
Japan,2000,1204900
United States,2018,100032
