Country,Year,Value
Japan,1991,102.95
Canada,2020,100
Canada,2019,98.26
France,2016,97.04
Canada,2015,93.53
Canada,2014,89.73
Canada,2013,88.35
Canada,1992,66.94
Canada,1991,70.02
Canada,1990,71.67
Canada,2023,111.26
Japan,1993,101.63
Canada,2011,84.88
Canada,2010,84.25
Canada,2009,84.22
Canada,2008,81.78
Canada,2007,78.93
Canada,2006,77.93
Canada,2005,75.81
Canada,2004,77.59
Canada,2003,78.17
Canada,2002,82.38
Canada,2001,86.08
Canada,2000,76.78
Canada,1999,74.42
Canada,1998,74.56
Canada,1997,72.92
Canada,1996,73
Canada,1995,72.06
Canada,2018,96.01
United Kingdom,2010,89.39
United Kingdom,2009,89.13
United Kingdom,2008,88.94
United Kingdom,2007,87.89
United Kingdom,2006,86.49
United Kingdom,2005,85.53
United Kingdom,2004,85.6
United Kingdom,2003,86.51
United Kingdom,2002,87.45
United Kingdom,2001,86.97
United Kingdom,2023,110.99
United Kingdom,2022,106.56
United Kingdom,2021,102.86
United Kingdom,2020,100
United Kingdom,2019,96.87
United Kingdom,2018,94.51
United Kingdom,2017,92.47
United Kingdom,2016,90.97
United Kingdom,2015,90.05
United Kingdom,2014,90.23
United Kingdom,2013,90.43
United Kingdom,2012,90.05
United Kingdom,2011,89.81
Canada,1982,60.55
Canada,1979,50.2
Canada,1978,47.62
Canada,2017,95.23
Canada,1993,70.54
Canada,1977,44.88
Canada,1976,41.44
Canada,1989,73.01
Canada,1988,71.41
Canada,1987,70.27
Canada,1986,67.51
Canada,1985,69.27
Canada,1984,65.11
Canada,2022,104.54
Canada,2021,101.26
Japan,1990,99.21
Japan,1989,91.84
Japan,2022,100.01
Japan,2021,100.5
Japan,2020,100
Japan,2019,97.9
Japan,2018,96.71
Japan,2017,95.18
Japan,2016,94.38
Japan,2015,92.75
Japan,2014,91.81
Japan,2013,89.29
Japan,2012,89.75
Japan,2011,90.29
Japan,2010,91.16
Japan,2009,92.12
Japan,2008,94.75
Japan,1988,86.17
Japan,1987,81.94
Japan,1986,78.03
Japan,1985,75.55
Japan,1984,78.22
Japan,1983,76.13
Japan,1982,73.3
Japan,1981,71.94
United States,2018,102.48
United States,2017,104.6
United States,2016,105.83
United States,2015,107.48
United States,2022,97.71
United States,2021,98.39
United States,2020,100
United States,2019,101.32
France,1979,36.9
France,1978,32.88
France,1989,75.21
France,1988,72.65
France,1991,79.12
France,1990,75.33
France,1987,69.52
France,1986,66.74
France,1985,63.86
France,1984,60.23
France,1983,56.41
France,1982,52.04
France,1981,46.47
France,1980,41.98
France,2012,94.1
France,2011,93.68
France,2010,92.12
France,2009,91.93
France,2008,91.72
France,2007,92.46
France,2006,91.13
France,2005,89.44
France,2004,87.57
France,2003,87.97
France,2002,91.44
France,2001,90.32
France,2000,87.4
France,1999,83.74
France,1998,82.81
France,1997,81.54
France,1996,79.73
France,1995,78.84
France,1994,78.32
France,1993,77.7
France,1992,78.56
France,2022,102.38
France,2023,105.12
France,2021,99.58
France,2020,100
France,2019,98.89
France,2018,98.26
France,2017,97.33
Canada,1994,71.5
Canada,2016,96.36
United Kingdom,1997,86.73
France,2015,96.82
France,2014,95.87
France,2013,95.44
United Kingdom,2000,86.69
United Kingdom,1999,88.51
United Kingdom,1998,87.24
Japan,1997,96.11
Japan,1996,93.29
Japan,1995,93.54
Japan,1994,96.75
Japan,2007,93.68
Japan,2006,92.79
Japan,2005,91.71
Japan,2004,92.09
Japan,2003,92.57
Japan,2002,96.33
Japan,2001,97.98
Japan,2000,99.28
Japan,1999,99.04
Japan,1998,98.38
Japan,1980,68.24
Canada,1983,62.78
Canada,1981,54.89
Canada,1980,52.76
Canada,2012,85.95
Japan,1992,103.56
