country,year,real_interest_rate,GFCF
Canada,1961,3.0843451,22.626884
Canada,1962,4.3415895,23.192419
Canada,1963,3.4915793,23.02389
Canada,1964,2.8378186,23.990988
Canada,1965,1.9231998,26.417755
Canada,1966,1.0284846,27.100271
Canada,1967,1.4001627,24.404425
Canada,1968,2.7401423,23.476503
Canada,1969,2.9873574,24.18325
Canada,1970,3.2893302,22.124294
Canada,1971,1.4749885,23.096441
Canada,1972,.16437909,23.126329
Canada,1973,-2.0767744,24.327366
Canada,1974,-4.1702013,25.85124
Canada,1975,-1.4244145,24.835449
Canada,1976,1.156647,25.116724
Canada,1977,1.6702644,24.287909
Canada,1978,2.6780834,23.49473
Canada,1979,2.5672586,25.141579
Canada,1980,3.8108912,23.762659
Canada,1981,7.5950541,25.296043
Canada,1982,6.4188266,19.923952
Canada,1983,5.0481625,20.221401
Canada,1984,8.2254839,20.960375
Canada,1985,7.0108933,21.533638
Canada,1986,7.1640491,21.680307
Canada,1987,4.5129876,22.177784
Canada,1988,6.0200262,23.506048
Canada,1989,8.2651663,23.610029
Canada,1990,10.362805,21.304211
Canada,1991,6.6766405,19.341297
Canada,1992,5.9212236,18.37742
Canada,1993,4.5892992,18.474989
Canada,1994,5.3416147,19.516094
Canada,1995,6.2412477,19.380342
Canada,1996,4.3149381,18.927723
Canada,1997,3.7710593,21.218002
Canada,1998,6.7923617,21.045273
Canada,1999,4.4284472,20.684242
Canada,2000,2.7752397,20.614468
Canada,2001,4.1731515,19.671394
Canada,2002,2.9141636,19.739346
Canada,2003,1.3925101,20.466677
Canada,2004,.71578526,21.38286
Canada,2005,1.2607356,22.632042
Canada,2006,3.161082,23.595894
Canada,2007,2.7140429,23.907877
Canada,2008,.70468861,24.072502
Canada,2009,4.8331218,21.959494
Canada,2010,-.2376999,23.482004
Canada,2011,-.23677318,24.151453
Canada,2012,1.7601104,24.867544
Canada,2013,1.2377167,24.907675
Canada,2014,1.0386389,24.870708
Canada,2015,3.6745334,23.821594
Canada,2016,1.9689052,22.76112
Canada,2017,.12575224,23.550468
Italy,1989,8.2913485,22.328808
Italy,1990,5.4521761,22.558628
Italy,1991,6.5857968,22.199055
Italy,1992,11.647045,21.567776
Italy,1993,10.340072,19.072481
Italy,1994,8.1525574,19.007645
Italy,1995,7.9206443,20.042343
Italy,1996,7.9522524,19.35508
Italy,1997,7.743309,19.501696
Italy,1998,6.094069,19.734486
Italy,1999,4.7366357,20.23312
Italy,2000,5.1382461,20.864576
Italy,2001,4.1289039,20.843357
Italy,2002,3.1587386,21.571234
Italy,2003,2.6006777,21.179375
Italy,2004,2.7622266,21.262444
Italy,2005,3.2382698,21.169371
Italy,2006,3.4241667,21.957615
Italy,2007,3.7624347,22.246046
Italy,2008,4.3325939,21.778515
Italy,2009,3.027009,19.508755
Italy,2010,3.5796857,20.579796
Italy,2011,2.9446638,20.468088
Italy,2012,3.6191986,17.789513
Italy,2013,3.9512119,16.892393
Italy,2014,3.9176478,16.959202
Italy,2015,3.1678662,17.107267
Italy,2016,2.335326,17.561028
Italy,2017,2.2580886,18.054071
Italy,2018,1.594833,18.52746
Italy,2019,1.6489172,18.239677
Italy,2020,.73751527,17.700745
Italy,2021,.75800669,21.737482
Italy,2022,-1.2934999,23.089119
Italy,2023,-.361662,20.91707
Japan,1993,4.3123579,31.768345
Japan,1994,3.9392493,30.652508
Japan,1995,4.0504951,30.933632
Japan,1996,3.1172547,32.026947
Japan,1997,1.9346131,31.110373
Japan,1998,2.3482234,29.590824
Japan,1999,3.4446344,28.200434
Japan,2000,3.4495213,28.417439
Japan,2001,3.0877955,27.754955
Japan,2002,3.3018229,25.898859
Japan,2003,3.4858289,25.660965
Japan,2004,2.9242406,25.638206
Japan,2005,2.905628,26.052326
Japan,2006,2.5488231,26.077555
Japan,2007,2.6068783,25.76874
Japan,2008,2.8469813,25.869579
Japan,2009,2.3060327,22.603176
Japan,2010,3.5457618,22.590303
Japan,2011,3.1744897,23.540569
Japan,2012,2.1800766,24.00493
Japan,2013,1.664022,24.417624
Japan,2014,-.45938158,25.036362
Japan,2015,-.94844121,25.165348
Japan,2016,.62219274,24.835598
Japan,2017,1.0691444,25.214827
United Kingdom,1970,-1.8293616,24.408022
United Kingdom,1971,-.4497121,23.825203
United Kingdom,1972,.2908417,23.201807
United Kingdom,1973,-.38267681,27.211054
United Kingdom,1974,-5.2661691,27.759993
United Kingdom,1975,-12.167407,23.955948
United Kingdom,1976,-3.48579,26.078279
United Kingdom,1977,-4.2200394,25.448582
United Kingdom,1978,-2.1213431,24.827509
United Kingdom,1979,-.32589135,24.979296
United Kingdom,1980,-2.8329189,21.472939
United Kingdom,1981,1.5109333,19.369795
United Kingdom,1982,4.2005615,20.168304
United Kingdom,1983,4.4732985,21.092733
United Kingdom,1984,4.4273543,22.206909
United Kingdom,1985,6.3891354,22.019621
United Kingdom,1986,6.2931709,21.773842
United Kingdom,1987,4.073339,22.718552
United Kingdom,1988,3.7335498,25.437836
United Kingdom,1989,5.4717183,26.078871
United Kingdom,1990,6.3788486,23.180754
United Kingdom,1991,4.9576602,19.77454
United Kingdom,1992,6.0418553,19.007511
United Kingdom,1993,3.1933143,18.54801
United Kingdom,1994,4.0132303,19.55785
United Kingdom,1995,-4.301167,18.68638
United Kingdom,1996,1.7488999,18.876959
United Kingdom,1997,6.7203836,17.736534
United Kingdom,1998,5.8848925,18.258268
United Kingdom,1999,3.9174774,18.070009
United Kingdom,2000,4.765492,18.41868
United Kingdom,2001,3.563385,18.297321
United Kingdom,2002,1.8382407,18.352596
United Kingdom,2003,1.2725658,17.938719
