Country,Year,Value
Canada,1995,0.99
France,1995,0.41
Germany,1995,0.55
Italy,1995,0.46
Japan,1995,0.35
Spain,1995,0.77
United Kingdom,1995,0.81
United States,1995,1.06
Canada,1996,1.14
France,1996,0.44
Germany,1996,0.52
Italy,1996,0.48
Japan,1996,0.39
Spain,1996,0.53
United Kingdom,1996,0.83
United States,1996,1.13
Canada,1997,1.36
France,1997,0.49
Germany,1997,0.52
Italy,1997,0.46
Japan,1997,0.39
Spain,1997,0.55
United Kingdom,1997,0.76
United States,1997,1.14
Canada,1998,1.54
France,1998,0.56
Germany,1998,0.52
Italy,1998,0.49
Japan,1998,0.44
Spain,1998,0.42
United Kingdom,1998,0.85
United States,1998,1.31
Canada,1999,1.67
France,1999,0.59
Germany,1999,0.46
Italy,1999,0.34
Japan,1999,0.42
Spain,1999,0.42
United Kingdom,1999,0.85
United States,1999,1.37
Canada,2000,1.47
France,2000,0.66
Germany,2000,0.46
Italy,2000,0.4
Japan,2000,0.42
Spain,2000,0.4
United Kingdom,2000,0.89
United States,2000,1.32
Canada,2001,1.17
France,2001,0.63
Germany,2001,0.36
Italy,2001,0.4
Japan,2001,0.49
Spain,2001,0.51
United Kingdom,2001,0.85
United States,2001,1.24
Canada,2002,0.91
France,2002,0.58
Germany,2002,0.32
Italy,2002,0.44
Japan,2002,0.49
Spain,2002,0.35
United Kingdom,2002,0.76
United States,2002,1.12
Canada,2003,1.02
France,2003,0.63
Germany,2003,0.24
Italy,2003,0.33
Japan,2003,0.52
Spain,2003,0.47
United Kingdom,2003,0.68
United States,2003,1.07
Canada,2004,1.1
France,2004,0.64
Germany,2004,0.28
Italy,2004,0.37
Japan,2004,0.53
Spain,2004,0.56
United Kingdom,2004,0.59
United States,2004,1.15
Canada,2005,1.13
France,2005,0.59
Germany,2005,0.27
Italy,2005,0.3
Japan,2005,0.45
Spain,2005,0.45
United Kingdom,2005,0.68
United States,2005,1.12
Canada,2006,1.25
France,2006,0.69
Germany,2006,0.14
Italy,2006,0.3
Japan,2006,0.44
Spain,2006,0.68
United Kingdom,2006,0.56
United States,2006,1.13
Canada,2007,1.13
France,2007,0.63
Germany,2007,0.1
Italy,2007,0.34
Japan,2007,0.44
Spain,2007,0.33
United Kingdom,2007,0.63
United States,2007,1.17
Canada,2008,0.99
France,2008,0.68
Germany,2008,0.2
Italy,2008,0.36
Japan,2008,0.46
Spain,2008,0.8
United Kingdom,2008,0.61
United States,2008,0.98
Canada,2009,0.7
France,2009,0.61
Germany,2009,0.23
Italy,2009,0.31
Japan,2009,0.56
Spain,2009,0.93
United Kingdom,2009,0.46
United States,2009,0.79
Canada,2010,0.67
France,2010,0.54
Germany,2010,0.28
Italy,2010,0.35
Japan,2010,0.5
Spain,2010,0.68
United Kingdom,2010,0.47
United States,2010,0.82
Canada,2011,0.64
France,2011,0.62
Germany,2011,0.27
Italy,2011,0.29
Japan,2011,0.45
Spain,2011,1.0
United Kingdom,2011,0.59
United States,2011,0.86
Canada,2012,0.65
France,2012,0.72
Germany,2012,0.31
Italy,2012,0.25
Japan,2012,0.45
Spain,2012,0.01
United Kingdom,2012,0.65
United States,2012,0.95
Canada,2013,0.49
France,2013,0.57
Germany,2013,0.31
Italy,2013,0.26
Japan,2013,0.46
Spain,2013,0.33
United Kingdom,2013,0.59
United States,2013,0.98
Canada,2014,0.39
France,2014,0.68
Germany,2014,0.33
Italy,2014,0.28
Japan,2014,0.5
Spain,2014,0.36
United Kingdom,2014,0.58
United States,2014,1.03
Canada,2015,0.53
France,2015,0.72
Germany,2015,0.35
Italy,2015,0.31
Japan,2015,0.48
Spain,2015,0.45
United Kingdom,2015,0.64
United States,2015,1.12
Canada,2016,0.46
France,2016,0.77
Germany,2016,0.29
Italy,2016,0.32
Japan,2016,0.46
Spain,2016,0.43
United Kingdom,2016,0.7
United States,2016,1.16
Canada,2017,0.46
France,2017,0.85
Germany,2017,0.32
Italy,2017,0.38
Japan,2017,0.46
Spain,2017,0.35
United Kingdom,2017,0.81
United States,2017,1.13
Canada,2018,0.49
France,2018,0.83
Germany,2018,0.31
Italy,2018,0.37
Japan,2018,0.45
Spain,2018,0.12
United Kingdom,2018,0.77
United States,2018,1.17
Canada,2019,0.51
France,2019,0.92
Germany,2019,0.37
Italy,2019,0.42
Japan,2019,0.45
Spain,2019,0.07
United Kingdom,2019,0.77
United States,2019,1.29
Canada,2020,0.5
France,2020,0.92
Germany,2020,0.38
Italy,2020,0.44
Japan,2020,0.47
Spain,2020,0.44
United Kingdom,2020,0.77
United States,2020,1.23
Canada,2021,0.46
France,2021,0.96
Germany,2021,0.39
Italy,2021,0.44
Japan,2021,0.47
Spain,2021,0.14
United Kingdom,2021,0.53
United States,2021,1.19
Canada,2022,0.47
France,2022,0.82
Germany,2022,0.38
Italy,2022,0.5
Japan,2022,0.49
Spain,2022,0.4
United Kingdom,2022,0.52
United States,2022,1.2
