Country,Year,Value
Canada,1987,6004
Canada,2008,10215
Canada,2005,11498
Canada,2004,10707
Canada,2017,2719
Canada,2003,9660
Canada,2002,8658
Canada,2014,2577
Canada,2013,4339
Canada,2012,5955
Canada,2011,5578
Canada,2010,6338
Canada,2009,6189
Canada,2007,12269
Canada,2006,13290
Canada,1982,1712
Canada,1981,2122
Canada,1980,1488
Canada,1979,1338
Canada,1978,1004
Canada,2001,10836
Canada,2000,12879
Canada,1999,11923
Canada,1998,10024
Canada,1976,719
Canada,1975,796
Canada,2023,2464
Canada,2022,2364
Canada,2021,1821
Canada,2020,2185
Canada,2019,2458
Canada,2018,2253
Canada,1986,4116
Canada,1985,3987
Canada,1984,2880
Canada,1983,2173
Canada,2016,2576
Canada,2015,4378
Canada,1966,181
Canada,1964,125
Canada,1963,113
Canada,1962,105
Canada,1977,758
Canada,1961,100
Canada,1974,698
Canada,1973,546
Canada,1972,431
Canada,1971,309
Canada,1970,305
Canada,1969,296
Canada,1968,209
Canada,1967,198
Canada,1965,148
Canada,1997,8183
Canada,1996,6902
Canada,1995,5632
Canada,1994,4260
Canada,1993,2396
Canada,1992,1910
Canada,1991,3455
Canada,1990,5166
Canada,1989,6184
France,2003,2546
Germany,2010,2368
Germany,2009,2175
France,2013,2483
Germany,2018,4939
Germany,2017,4454
Germany,2022,6575
Germany,2016,3993
Germany,2015,4278
Germany,2014,3418
Germany,2013,3330
Germany,2012,3285
Germany,2011,3311
Spain,2017,512
Spain,2016,775
Spain,2015,715
Spain,2014,586
Spain,2013,465
Spain,2012,287
Spain,2011,1095
Spain,2010,984
Spain,2009,2121
Germany,1998,4099
Germany,1997,4059
Germany,1996,4176
Germany,1995,4401
Germany,2008,1994
Germany,2007,2065
Germany,2006,1464
Germany,2005,2188
Germany,2021,6471
Germany,2019,6153
France,2002,2092
France,2001,2498
France,2000,2492
France,1999,2117
France,1998,1768
France,1997,1602
France,1996,1558
France,1995,1538
France,1994,1716
France,1993,2026
France,1992,1424
France,2023,3954
France,2022,4337
France,2021,5532
France,2020,5088
France,2019,5232
France,2018,4193
France,2017,4469
France,2016,3762
France,2015,3513
France,2014,3103
Spain,1998,1734
Spain,1997,1704
Spain,1996,1771
Spain,1995,1235
Spain,2008,2355
Spain,2007,2710
Spain,2006,2303
Spain,2005,1440
Spain,2004,1663
Spain,2003,1512
Spain,2002,1687
Spain,2001,2017
Spain,2000,1757
Spain,1999,1607
Spain,2022,1859
Spain,2021,911
Spain,2020,1160
Spain,2019,800
Spain,2018,319
Germany,2004,3369
Germany,2003,2766
Germany,2002,4188
Germany,2001,3770
Germany,2000,3769
Germany,1999,4827
Germany,2020,6032
Italy,1998,944.7
Italy,1997,896.4
Italy,1996,840.6
Italy,1995,803.1
Italy,2008,1438.7
Italy,2007,1097.1
Italy,2006,1101.5
Italy,2005,1142.8
Italy,2004,1257
Italy,2003,1029.8
Italy,2002,1123.1
Italy,2001,981.7
Italy,2000,941.2
Italy,1999,939
Italy,2022,1945.4
Italy,2021,1660.7
Italy,2020,1364.9
Italy,2019,1569.9
Italy,2018,1208.1
Italy,2017,1297.1
Italy,2016,1269.6
Italy,2015,1137.8
Italy,2014,985.7
Italy,2013,1071.8
Italy,2012,895.9
Italy,2011,1079
Italy,2010,1136.3
Italy,2009,1369
France,1981,649
France,1980,571
France,1979,523
France,1978,441
France,1991,1932
France,1990,1882
France,1989,1705
France,1988,1713
France,1987,1499
France,1986,1343
France,1985,1150
France,1984,1075
France,1983,854
France,1982,727
France,2012,3424
France,2011,2833
France,2010,2323
France,2009,2607
France,2008,3146
France,2007,2884
France,2006,2879
France,2005,2582
United Kingdom,2020,5626
United Kingdom,2010,2303
United Kingdom,2009,1663
United Kingdom,2021,4829
United Kingdom,2019,6689
United Kingdom,2018,6172
United Kingdom,2017,6889
United Kingdom,2016,6245
United Kingdom,2015,5674
United Kingdom,2014,4540
United Kingdom,2013,4638
United Kingdom,2012,5494
United Kingdom,2011,4274
United Kingdom,1998,1981
United Kingdom,1997,1898
United Kingdom,1996,1837
United Kingdom,1995,1589
United Kingdom,2008,2080
United Kingdom,2007,2613
United Kingdom,2006,1990
United Kingdom,2005,2684
United Kingdom,2004,1895
United Kingdom,2003,1815
United Kingdom,2002,2321
United Kingdom,2001,2022
United Kingdom,2000,2589
United Kingdom,1999,2106
United Kingdom,2023,6049
Japan,2020,669300
Japan,1984,418100
Japan,1983,354900
Japan,1982,281600
Japan,2003,885900
Japan,2002,822400
Japan,2001,908700
Japan,2000,884900
Japan,1988,670400
Japan,2014,825500
Japan,1987,542100
Japan,1986,473600
Japan,1985,478100
Japan,2019,607700
Japan,2018,645900
Japan,1981,290600
