Country,Year,Value
Canada,2008,4995
Canada,2013,3531
Canada,2012,3406
Canada,2011,3427
Canada,2022,8147
Canada,2021,7020
Canada,2020,7174
Canada,2019,7425
Canada,2018,6772
Canada,2017,5563
Canada,2016,5111
Canada,2015,4669
Canada,2014,4028
Canada,2007,4567
Canada,2006,4563
Canada,2005,3747
Canada,2004,3400
Canada,2003,2566
Canada,2002,1577
Canada,2001,1505
Canada,2000,2317
Canada,1999,2528
Canada,1998,2553
Canada,1997,2108
Canada,1996,1895
Canada,1995,1726
Canada,1994,1636
Canada,1993,1437
Canada,1992,1183
Canada,1991,1194
Canada,1990,1183
Canada,2023,9304
Canada,1979,165
Canada,1978,139
Canada,1977,115
Canada,1976,94
Canada,1989,1068
Canada,1988,986
Canada,1987,791
Canada,1986,699
Canada,1985,571
Canada,1984,469
Canada,1983,383
Canada,1982,302
Canada,1981,249
Canada,1980,200
Canada,2010,3016
Italy,1998,1483
Germany,2022,2446
France,2019,6348
France,2018,5922
France,2017,5550
France,2016,5082
France,1998,2143
France,1997,1882
France,2023,8598
France,2022,7844
France,1994,1470
France,1993,1415
France,1992,1466
France,2020,6565
France,1986,865
France,2015,4689
France,1983,590
France,1982,511
France,2014,4412
France,2013,4291
France,2012,4165
France,2011,3868
France,2010,3707
France,2009,3419
France,2008,3457
France,2007,3199
France,2006,3125
France,2005,2889
France,2004,2741
France,2003,2597
France,2002,2747
France,2001,2855
Italy,1997,1118.9
Italy,1996,995.4
Italy,1995,1115.6
Italy,2008,2221.2
Italy,2007,1474.4
Italy,2006,1890.5
Italy,2005,1706.8
Italy,2004,1659.1
Italy,2003,1712.7
Italy,2002,1591.4
Italy,2001,1393.7
Italy,2000,1435.5
Italy,1999,1341.9
Italy,2022,2525.7
Italy,2021,2401.8
Italy,2020,2586.8
Italy,2019,2317.9
Italy,2018,2043.8
Italy,2017,1961.4
Italy,2016,2026.4
Italy,2015,1914.7
Italy,2014,1574.3
Italy,2013,1401.7
Italy,2012,1448.7
Italy,2011,1344.3
Italy,2010,1810
Italy,2009,1660
France,2000,2823
France,1999,2380
France,1985,781
France,1984,689
France,1981,441
France,1980,395
France,1996,1695
France,1995,1569
France,1979,321
France,1978,267
France,1991,1368
France,1990,1313
France,2021,6934
Spain,2002,1378
Spain,2010,1900
Spain,2009,1912
Spain,2016,3037
Spain,2020,4797
Spain,2019,3412
Spain,2018,3025
Spain,2017,3116
Spain,2008,2134
Spain,2007,2011
Spain,2006,1753
Spain,2005,1589
Spain,2004,1727
Spain,2003,1555
Spain,2015,2156
Spain,2022,4475
Spain,2021,3667
Spain,2014,1974
Spain,2013,1549
Spain,2012,1505
Spain,2011,1907
Spain,2001,1474
Spain,2000,1307
Spain,1999,1147
Spain,1998,1121
Spain,1997,894
Spain,1996,710
Spain,1995,613
Germany,1998,1083
Germany,1997,1013
Germany,1996,1021
Germany,1995,1013
Germany,2008,1746
Germany,2007,1824
Germany,2006,1606
Germany,2005,1603
Germany,2004,1579
Germany,2003,1370
Germany,2002,1352
Germany,2001,1211
Germany,2000,1250
Germany,1999,1189
Germany,2020,1824
Germany,2021,2255
Germany,2019,1925
Germany,2018,1830
Germany,2017,1785
Germany,2016,1723
Germany,2015,1783
Germany,2014,1692
Germany,2013,1671
Germany,2012,1629
Germany,2011,1786
Germany,2010,1569
Germany,2009,1700
France,1989,1253
France,1988,1092
United Kingdom,2010,4538
United Kingdom,2018,5938
United Kingdom,2017,5644
United Kingdom,2016,4953
United Kingdom,2009,4720
United Kingdom,2008,4799
United Kingdom,2007,4735
United Kingdom,2006,4137
United Kingdom,2023,5917
United Kingdom,2022,5881
United Kingdom,2021,5663
United Kingdom,2020,6080
United Kingdom,2019,6109
United Kingdom,2015,4896
United Kingdom,2014,5133
United Kingdom,2013,4570
United Kingdom,2001,3599
United Kingdom,2000,3922
United Kingdom,1999,3275
United Kingdom,1998,3215
United Kingdom,2005,4086
United Kingdom,2004,3928
United Kingdom,2003,4345
United Kingdom,2002,3702
United Kingdom,1997,2820
United Kingdom,1996,3821
United Kingdom,1995,3564
United Kingdom,2012,4247
Japan,2006,1511700
Japan,1983,87000
Japan,1982,68600
Japan,1981,57400
Japan,2011,1480300
Japan,2010,1728600
Japan,2009,1872000
Japan,2008,1555200
Japan,1988,339200
Japan,1987,219900
Japan,1986,184000
Japan,1985,124300
Japan,1984,110400
Japan,2005,1527800
Japan,1998,1217600
Japan,1980,47600
Japan,1993,779600
Japan,1992,829800
Japan,1991,774500
Japan,1990,678400
Japan,1989,511700
Japan,2022,1818000
Japan,2021,1760600
Japan,2020,1693900
Japan,2019,1758000
Japan,2018,1674200
Japan,2017,1666900
Japan,2016,1671200
Japan,2015,1671700
Japan,2014,1586600
Japan,2013,1534000
Japan,2012,1513000
Japan,2004,1789900
Japan,2003,1765900
Japan,2002,1671100
Japan,2001,1602700
Japan,2000,1289700
Japan,1999,1221200
Japan,1997,992600
Japan,1996,910600
Japan,1995,724100
Japan,1994,684400
United States,1996,14791
United States,2007,41932
United States,2006,37877
United States,2005,36456
United States,2015,70559
United States,2014,59862
United States,2013,57726
United States,2012,55429
United States,2011,49294
United States,2010,44550
United States,2009,48263
United States,2008,42511
United States,1995,14366
United States,1994,15906
United States,1993,15904
United States,1992,15277
United States,1991,15519
United States,1990,13066
United States,1989,11655
United States,1988,9507
United States,1987,7571
United States,1986,6418
United States,1985,5681
United States,1984,4918
United States,2022,169397
United States,2021,149696
United States,2020,129816
United States,2019,120288
United States,2018,98007
United States,2017,88759
United States,2016,81186
United States,1973,769
United States,1972,518
United States,1971,534
United States,1970,454
United States,1983,4227
United States,1982,3453
United States,1981,2542
United States,1980,2370
United States,1979,2143
United States,1978,1745
United States,1977,1599
United States,1976,1638
United States,1975,1441
United States,1974,1078
United States,2004,36345
United States,2003,32725
United States,2002,30399
United States,2001,31782
United States,2000,30562
United States,1999,25529
United States,1998,19573
Canada,2009,3119
France,1987,942
United Kingdom,2011,4557
Japan,2007,1467300
United States,1997,14717
