Country,Year,Value
Canada,2023,123.36
Canada,2022,128.01
Canada,2021,122.29
Canada,2020,124.85
Canada,2019,116.41
Canada,2018,115.72
Canada,2017,112.01
Canada,2016,102.18
Canada,2015,100
Canada,2014,94.56
Canada,2013,93.38
Canada,2012,90.65
Canada,2011,89.05
Canada,2010,87.83
Canada,2009,88.7
Canada,2008,86.21
Canada,2007,88.97
Germany,2023,112.06
Germany,2022,112.52
Germany,2021,118.45
Germany,2020,112.16
Germany,2019,106.52
Germany,2018,100.85
Germany,2017,104.44
Germany,2016,97.53
Germany,2015,100
Germany,2014,98.11
Germany,2013,101.83
Germany,2012,95.41
Germany,2011,95.63
Germany,2010,89.65
Germany,2009,83.9
Germany,2008,87.4
Germany,2007,87.39
Germany,2006,84.61
Germany,2005,88.2
Germany,2004,88.55
Germany,2003,93.85
Germany,2002,108.4
Germany,2001,113.12
Germany,2000,107.43
Germany,1999,115.36
Germany,1998,108.16
Germany,1997,107.12
Germany,1996,104.81
Germany,1995,102.44
Germany,1994,104.66
Germany,1993,102.08
Germany,1992,96.34
Germany,1991,95.42
Spain,2023,114.56
Spain,2022,114.57
Spain,2021,104.69
Spain,2020,107.5
Spain,2019,101.98
Spain,2018,108.52
Spain,2017,102.63
Spain,2016,102.03
Spain,2015,100
Spain,2014,104.47
Spain,2013,107.64
Spain,2012,115.26
Spain,2011,120.59
Spain,2010,123.16
Spain,2009,124.72
Spain,2008,129.98
Spain,2007,126.44
Spain,2006,120.12
Spain,2005,110.87
Spain,2004,100.22
Spain,2003,91.98
Spain,2002,88.97
Spain,2001,85.67
Spain,2000,77.71
Spain,1999,71.48
Spain,1998,67.75
Spain,1997,62.76
Spain,1996,59.63
Spain,1995,56.24
France,2023,111.93
France,2022,115.18
France,2021,113.83
France,2020,107.96
France,2019,106.59
France,2018,105.27
France,2017,100.17
France,2016,99.14
France,2015,100
France,2014,101.41
France,2013,100.06
France,2012,98.86
France,2011,98.26
France,2010,93.66
France,2009,94.02
France,2008,86.7
France,2007,86.05
France,2006,82.48
France,2005,84.29
France,2004,84.33
France,2003,81.38
France,2002,81.56
France,2001,79.05
France,2000,82.65
France,1999,75.19
France,1998,70.75
France,1997,67.86
France,1996,69.32
France,1995,67.86
France,1994,71.06
France,1993,70.56
France,1992,65.18
France,1991,66.62
France,1990,63.9
France,1989,68.39
France,1988,62.11
France,1987,60.98
France,1986,60.04
France,1985,59.23
France,1984,59.41
France,1983,58.11
France,1982,54.78
France,1981,52.53
France,1980,47.62
France,1979,44.27
France,1978,43.06
France,1977,42.11
France,1976,43.62
France,1975,43.15
France,1974,47.98
France,1973,43.09
France,1972,41.34
France,1971,41.25
France,1970,41.49
France,1969,40.52
France,1968,37.45
France,1967,35.8
France,1966,34.75
France,1965,34.4
France,1964,32.75
France,1963,30.8
France,1962,30.12
France,1961,32.69
France,1960,33.29
France,1959,33.5
France,1958,34.78
France,1957,32.27
France,1956,27.84
France,1955,28.3
France,1954,27.1
France,1953,26.91
France,1952,23.57
France,1951,24.17
France,1950,22.3
United Kingdom,2023,102.56
United Kingdom,2022,106.11
United Kingdom,2021,102.55
United Kingdom,2020,103.55
United Kingdom,2019,105.24
United Kingdom,2018,108.64
United Kingdom,2017,113.06
United Kingdom,2016,103.28
United Kingdom,2015,100
United Kingdom,2014,100.24
United Kingdom,2013,101.29
United Kingdom,2012,103.88
United Kingdom,2011,104.19
United Kingdom,2010,114.68
United Kingdom,2009,113.84
United Kingdom,2008,118.36
United Kingdom,2007,117.49
United Kingdom,2006,97.19
United Kingdom,2005,99.05
United Kingdom,2004,89.16
United Kingdom,2003,83.94
United Kingdom,2002,80.45
United Kingdom,2001,76.26
United Kingdom,2000,78.43
United Kingdom,1999,74.28
United Kingdom,1998,77.06
United Kingdom,1997,76.32
United Kingdom,1996,72.08
United Kingdom,1995,68.64
United Kingdom,1994,67.06
Italy,2023,96.3
Italy,2022,104.25
Italy,2021,102.5
Italy,2020,108.01
Italy,2019,103.1
Italy,2018,103.33
Italy,2017,101.26
Italy,2016,99.72
Italy,2015,100
Italy,2014,101.94
Italy,2013,101.43
Italy,2012,101.45
Italy,2011,98.51
Italy,2010,94.89
Italy,2009,89.53
Italy,2008,88.84
Italy,2007,90.86
Italy,2006,88.26
Italy,2005,85.71
Italy,2004,82.01
Italy,2003,78.54
Italy,2002,78.27
Italy,2001,82.36
Italy,2000,83.71
Italy,1999,77.33
Italy,1998,80.04
Italy,1997,81.98
Italy,1996,79.39
Italy,1995,75.43
Italy,1994,78.26
Italy,1993,78.89
Italy,1992,70.98
