Country,Year,Value
France,1982,0.14
France,1983,5.22
Germany,2018,-4.5
Germany,2019,5.2
Germany,2020,2.92
Japan,2013,8.88
Japan,2014,5.81
Germany,2005,-0.98
Germany,2006,-2.42
Germany,2007,2.58
Germany,2008,-1.12
Germany,2009,-5.72
Germany,2010,7.64
Germany,2011,6.41
Germany,2012,-1.47
Germany,2013,6.52
Germany,2003,-13.66
Germany,2004,-5.8
Germany,1992,-0.13
Germany,1993,3.38
Germany,1994,0.3
Germany,1995,-2.44
Germany,1996,1.95
Germany,1997,1.8
Germany,1998,0.95
Germany,1999,6.22
Germany,2000,-7.79
Germany,2001,4.69
Spain,2003,3.13
Spain,2004,8.95
Spain,2018,5.8
Spain,2019,-0.93
Spain,2020,4.24
Spain,2021,-1.2
Spain,2022,4.94
Spain,2023,-0.88
Spain,2005,10.08
Spain,2006,8.69
Spain,2007,4.51
Spain,2008,2.94
Germany,2021,8.12
Germany,2022,-6.46
Germany,2023,-0.71
Spain,2016,3.07
Spain,2017,0.11
Spain,1996,5.1
Spain,1997,4.95
Spain,1998,7.68
Spain,1999,5.61
Spain,2000,8.44
Spain,2001,9.53
Italy,2003,0.85
Italy,2004,1.83
Italy,2018,2.38
Italy,2019,-0.3
Italy,2020,0.7
Italy,2021,0.68
Italy,2022,-0.79
Italy,2023,-7.01
Italy,2005,5.88
Italy,2006,2.06
Italy,2007,3.48
Italy,2008,-1.11
Italy,2009,0.79
Italy,2010,5.86
Italy,2011,4.44
Italy,2012,1.49
Italy,2013,-0.87
Italy,2014,-0.65
Italy,2015,-1.49
Italy,2016,-0.56
Italy,2017,1.81
Italy,1993,11.52
Italy,1994,-0.68
Italy,1995,-4.84
Italy,1996,5.62
Italy,1997,2.3
Italy,1998,-1.23
Italy,1999,-3.12
Italy,2000,6.65
Italy,2001,-1.87
France,2014,0.66
France,2015,-0.56
France,1984,2.11
France,1985,-1.46
France,1986,1.4
France,1987,2.5
France,1988,3.1
France,1989,8.83
France,1971,-1.03
Germany,2014,-3.57
Germany,2015,2.02
Germany,2016,-2.4
Germany,2017,6.29
France,2016,-1.21
France,2017,-0.1
France,2018,5.85
France,2019,0.91
France,2020,-1.52
France,2021,7.52
France,2022,1.73
France,2023,-4.36
France,1951,9.26
France,1952,-2.94
France,1953,13.6
France,1954,1.48
France,1955,3.95
France,1956,-3.74
France,1957,14.4
France,1958,6.94
France,1959,-3.7
France,1960,-0.17
France,1961,-2.81
France,1962,-6.87
France,1963,1.57
France,1964,6.74
France,1965,4.98
France,1966,0.68
France,1967,2.07
France,1968,1.09
France,1969,4.2
France,1970,1.87
France,1990,-5.45
France,1991,3.8
France,1992,-1.97
France,1993,8.1
France,1994,1.01
France,1995,-5.54
France,1996,2.29
France,1997,-2.35
France,1998,3.27
France,1999,6.83
France,2000,7.56
France,2001,-5.71
France,2002,1.64
France,2003,1.15
France,2004,6.34
France,2005,-1.04
France,2006,-3.58
France,2007,5.08
France,2008,1.68
France,2009,8.31
France,2010,0.33
France,2011,5.76
France,2012,1.12
United Kingdom,2009,-2.46
United Kingdom,2010,1.97
United Kingdom,1995,2.39
United Kingdom,1996,5.74
United Kingdom,1997,5.05
United Kingdom,1998,2.76
United Kingdom,1999,-3.24
United Kingdom,2000,4.48
United Kingdom,2011,-6.82
United Kingdom,2012,0.47
United Kingdom,2013,-2.98
United Kingdom,2014,-0.74
United Kingdom,2015,-3.42
United Kingdom,2016,6.98
United Kingdom,2017,7.78
United Kingdom,2018,-3.25
United Kingdom,2019,-3.53
United Kingdom,2020,-2.4
United Kingdom,2021,1.27
United Kingdom,2022,3.6
United Kingdom,2023,-2.72
United Kingdom,2001,-3.01
United Kingdom,2002,4.21
United Kingdom,2003,4.15
United Kingdom,2004,5.46
United Kingdom,2005,14.6
United Kingdom,2006,-2.7
United Kingdom,2007,22.43
Japan,2022,12.62
Japan,2001,2.01
Japan,1995,-4.88
Japan,1996,4.11
Japan,1997,4.25
Japan,1998,-4.64
Japan,1999,1.54
Japan,2000,4.69
Japan,2002,-2.24
Japan,2003,4.29
Japan,2004,-0.97
Japan,2005,2.91
Japan,2006,2.6
Japan,2007,4.77
Japan,2008,-18
Japan,2009,0.5
Japan,2010,2.69
Japan,2011,-0.85
Japan,2012,0.71
Spain,2009,-4.84
Spain,2010,-2.43
Spain,2011,-1.33
Spain,2012,-4.93
Spain,2013,-7.81
Spain,2014,-2.8
Spain,2015,-5.13
Japan,2015,3.3
Japan,2016,-6.81
Japan,2017,-0.78
Japan,2018,2.6
Japan,2019,-2.83
Japan,2020,5.34
Canada,2016,2.97
Canada,2017,7.48
Canada,2018,3.66
Canada,2019,0.57
Canada,2020,7.67
Canada,2021,-1.75
Canada,2022,3.49
Canada,2023,-3.61
Canada,2008,-2.3
Canada,2009,1.65
Canada,2010,-1.17
Canada,2011,1.02
Canada,2012,3.48
Canada,2013,2.67
Canada,2014,1.75
Germany,2002,-4.74
Spain,2002,4.56
Italy,2002,-5.78
France,2013,0.14
United Kingdom,2008,0.3
Japan,2021,8.25
Canada,2015,6.26
France,1972,-1.5
France,1973,4.83
France,1974,10.12
France,1975,-9.3
France,1976,4
France,1977,-4.57
France,1978,1.6
France,1979,4.14
France,1980,7.25
France,1981,10
