Year,Sector,Value
1997,"Financial service activities, except insurance and pension funding",66.45
1998,"Financial service activities, except insurance and pension funding",72.58
1999,"Financial service activities, except insurance and pension funding",67.01
2000,"Financial service activities, except insurance and pension funding",68.88
2001,"Financial service activities, except insurance and pension funding",73.17
2002,"Financial service activities, except insurance and pension funding",85.97
2003,"Financial service activities, except insurance and pension funding",93.88
2004,"Financial service activities, except insurance and pension funding",106.13
2005,"Financial service activities, except insurance and pension funding",109.77
2006,"Financial service activities, except insurance and pension funding",124.41
2007,"Financial service activities, except insurance and pension funding",138.1
2008,"Financial service activities, except insurance and pension funding",128.45
2009,"Financial service activities, except insurance and pension funding",123.78
2010,"Financial service activities, except insurance and pension funding",113.31
2011,"Financial service activities, except insurance and pension funding",114.92
2012,"Financial service activities, except insurance and pension funding",117.02
2013,"Financial service activities, except insurance and pension funding",112.01
2014,"Financial service activities, except insurance and pension funding",100.5
2015,"Financial service activities, except insurance and pension funding",102.76
2016,"Financial service activities, except insurance and pension funding",108.91
2017,"Financial service activities, except insurance and pension funding",112.71
2018,"Financial service activities, except insurance and pension funding",104.94
2019,"Financial service activities, except insurance and pension funding",100.0
2020,"Financial service activities, except insurance and pension funding",95.61
2021,"Financial service activities, except insurance and pension funding",99.9
1997,"Insurance, reinsurance and pension funding, except compulsory social security",175.92
1998,"Insurance, reinsurance and pension funding, except compulsory social security",154.13
1999,"Insurance, reinsurance and pension funding, except compulsory social security",149.53
2000,"Insurance, reinsurance and pension funding, except compulsory social security",133.53
2001,"Insurance, reinsurance and pension funding, except compulsory social security",66.42
2002,"Insurance, reinsurance and pension funding, except compulsory social security",62.05
2003,"Insurance, reinsurance and pension funding, except compulsory social security",66.37
2004,"Insurance, reinsurance and pension funding, except compulsory social security",76.49
2005,"Insurance, reinsurance and pension funding, except compulsory social security",92.46
2006,"Insurance, reinsurance and pension funding, except compulsory social security",73.7
2007,"Insurance, reinsurance and pension funding, except compulsory social security",79.64
2008,"Insurance, reinsurance and pension funding, except compulsory social security",79.99
2009,"Insurance, reinsurance and pension funding, except compulsory social security",91.21
2010,"Insurance, reinsurance and pension funding, except compulsory social security",96.85
2011,"Insurance, reinsurance and pension funding, except compulsory social security",83.65
2012,"Insurance, reinsurance and pension funding, except compulsory social security",92.87
2013,"Insurance, reinsurance and pension funding, except compulsory social security",84.73
2014,"Insurance, reinsurance and pension funding, except compulsory social security",101.19
2015,"Insurance, reinsurance and pension funding, except compulsory social security",96.44
2016,"Insurance, reinsurance and pension funding, except compulsory social security",97.74
2017,"Insurance, reinsurance and pension funding, except compulsory social security",108.17
2018,"Insurance, reinsurance and pension funding, except compulsory social security",107.14
2019,"Insurance, reinsurance and pension funding, except compulsory social security",100.0
2020,"Insurance, reinsurance and pension funding, except compulsory social security",99.72
2021,"Insurance, reinsurance and pension funding, except compulsory social security",100.75
1997,Activities auxiliary to financial services and insurance activities,44.65
1998,Activities auxiliary to financial services and insurance activities,43.92
1999,Activities auxiliary to financial services and insurance activities,47.44
2000,Activities auxiliary to financial services and insurance activities,58.24
2001,Activities auxiliary to financial services and insurance activities,55.3
2002,Activities auxiliary to financial services and insurance activities,63.43
2003,Activities auxiliary to financial services and insurance activities,68.32
2004,Activities auxiliary to financial services and insurance activities,65.26
2005,Activities auxiliary to financial services and insurance activities,57.21
2006,Activities auxiliary to financial services and insurance activities,63.27
2007,Activities auxiliary to financial services and insurance activities,70.3
2008,Activities auxiliary to financial services and insurance activities,79.93
2009,Activities auxiliary to financial services and insurance activities,86.73
2010,Activities auxiliary to financial services and insurance activities,82.54
2011,Activities auxiliary to financial services and insurance activities,73.29
2012,Activities auxiliary to financial services and insurance activities,70.21
2013,Activities auxiliary to financial services and insurance activities,75.12
2014,Activities auxiliary to financial services and insurance activities,72.21
2015,Activities auxiliary to financial services and insurance activities,75.78
2016,Activities auxiliary to financial services and insurance activities,81.47
2017,Activities auxiliary to financial services and insurance activities,91.41
2018,Activities auxiliary to financial services and insurance activities,94.52
2019,Activities auxiliary to financial services and insurance activities,100.0
2020,Activities auxiliary to financial services and insurance activities,97.29
2021,Activities auxiliary to financial services and insurance activities,102.43
