Sector,Value
"Electricity, gas and water suppliers",35.54
"Recreational, personal, community service ",8.73
Financial intermediation auxiliary companies,164.4
"Agriculture, hunting and forestry industries",17.28
Fishing industries,0.35
Mining and quarrying industries,1.62
Manufacturers,26.18
Construction companies,30.91
Wholesale and retail trade and repair,35.8
Hotels and restaurants,26.05
"Transport, storage and communications",29.47
"Real estate, renting, computing",230.7
Public administration and defence,8.19
Education providers,7.15
Health and social work,19.53
Financial intermediation (excl. ICPF),241.79
Insurance companies and pension funds,40.06
