Sector,vs1990,vs2007
Information and communication,189,120.2
Manufacturing,106.8,59.8
Financial and insurance activities,38.4,11.3
Transportation and storage,34.6,10.3
"Electricity, gas, steam and air conditioning supply",31.8,1.8
Total market sector,25.8,-3.6
"Professional, scientific and technical activities",13.7,-5
Wholesale and retail trade; repair of motor vehicles and motorcycles,11.9,-6.1
"Arts, entertainment and recreation; Other service activities; Activities of households as employers; Activities of extraterritorial organisations and bodies",-21.3,-8.7
Construction,-21.4,-9.6
Real estate activities,-23.2,-18.9
Administrative and support service activities,-24.5,-20.1
Accommodation and food service activities,-30.4,-26.2
Public administration and defence; compulsory social security; Education; Human health and social activities,-35.8,-29.4
"Water supply; sewerage, waste management and remediation activities",-54.1,-58.9
