Year,Manufacturing,Information and communication,Financial and insurance activities,Real estate activities
1990, 44.1 , 18.2 , 91.4 , 76.9 
1991, 44.6 , 17.4 , 89.5 , 71.5 
1992, 45.9 , 17.2 , 87.1 , 67.0 
1993, 47.5 , 16.8 , 89.8 , 68.5 
1994, 49.0 , 16.4 , 88.2 , 69.2 
1995, 48.5 , 16.3 , 88.2 , 71.2 
1996, 48.1 , 15.7 , 93.4 , 74.7 
1997, 50.1 , 15.4 , 97.5 , 76.4 
1998, 52.3 , 19.0 , 96.4 , 71.3 
1999, 56.3 , 22.4 , 91.2 , 67.8 
2000, 60.3 , 28.1 , 94.5 , 63.5 
2001, 64.7 , 29.6 , 90.2 , 60.1 
2002, 69.8 , 32.6 , 93.3 , 60.5 
2003, 74.6 , 38.2 , 94.6 , 63.4 
2004, 78.7 , 42.9 , 97.8 , 60.1 
2005, 82.3 , 45.8 , 108.7 , 60.5 
2006, 90.1 , 47.5 , 105.9 , 58.7 
2007, 91.3 , 52.6 , 126.5 , 59.1 
2008, 92.8 , 55.2 , 125.6 , 62.1 
2009, 89.9 , 56.7 , 118.8 , 67.1 
2010, 90.4 , 59.6 , 117.2 , 72.6 
2011, 91.0 , 64.1 , 108.0 , 82.6 
2012, 93.4 , 66.9 , 107.5 , 91.1 
2013, 97.2 , 68.6 , 102.4 , 95.4 
2014, 100.8 , 73.9 , 99.6 , 97.7 
2015, 99.7 , 79.4 , 95.3 , 97.4 
2016, 98.1 , 85.1 , 98.9 , 97.4 
2017, 98.3 , 84.5 , 107.1 , 99.5 
2018, 100.7 , 92.6 , 103.2 , 98.0 
2019, 100.0 , 100.0 , 100.0 , 100.0 
2020, 113.9 , 107.2 , 98.7 , 102.2 
2021, 106.7 , 114.9 , 102.0 , 96.2 
2022, 101.5 , 115.8 , 102.6 , 94.4 
