Year,Regulated,Unregulated,Unsecuritised,Securitised,,
2007,613.90,450.46,881.86,182.50,,
2008,789.35,388.41,980.47,197.29,,
2009,853.03,345.38,972.40,226.02,,
2010,891.27,314.86,1047.01,159.12,,
2011,919.79,292.65,1084.82,127.62,,
2012,942.43,279.05,1095.55,125.93,,
2013,957.73,270.89,1110.31,118.31,,
2014,979.05,264.51,1142.24,101.32,,
2015,996.85,264.74,1177.28,84.32,,
2016,1032.27,272.47,1222.64,82.10,,
2017,1072.75,280.02,1273.00,79.78,,
2018,1119.18,284.17,1310.91,92.44,,
2019,1171.84,279.99,1354.88,96.95,,
2020,1216.70,291.03,1404.10,103.63,,
2021,1266.50,295.07,1454.40,107.18,,
2022,1331.63,299.20,1524.71,106.11,,
2023,1378.83,297.13,1566.91,109.05,,
2024,1389.35,265.87,1562.38,92.84,,
