Year,Country,Value
1995,Canada,-0.502873304
1996,Canada,0.465438678
1997,Canada,-0.909997067
1998,Canada,-1.231090811
1999,Canada,0.535653872
2000,Canada,3.236953143
2001,Canada,2.936630603
2002,Canada,2.031508913
2003,Canada,1.516799801
2004,Canada,2.281746849
2005,Canada,1.835479991
2006,Canada,0.990575997
2007,Canada,0.409910621
2008,Canada,0.146405551
2009,Canada,-3.546731631
2010,Canada,-4.259961298
2011,Canada,-3.093858561
2012,Canada,-4.021560846
2013,Canada,-3.320021007
2014,Canada,-2.729964139
2015,Canada,-4.299700418
2016,Canada,-3.559405293
2017,Canada,-3.747055204
2018,Canada,-3.792769522
2019,Canada,-2.779003641
2020,Canada,-3.332471972
2021,Canada,-0.882285671
2022,Canada,-0.883224414
1995,France,0.687776878
1996,France,1.366243274
1997,France,2.92966227
1998,France,2.773142313
1999,France,2.853035584
2000,France,1.470189404
2001,France,1.799635938
2002,France,1.567738088
2003,France,0.77728977
2004,France,0.910083749
2005,France,0.150234582
2006,France,0.084138147
2007,France,-0.454578234
2008,France,-0.657555286
2009,France,-0.370167247
2010,France,-0.802239676
2011,France,-1.188708147
2012,France,-1.323436761
2013,France,-0.958487882
2014,France,-1.279953855
2015,France,-0.490031077
2016,France,-0.621405478
2017,France,-0.712854806
2018,France,-0.670712976
2019,France,-0.703058497
2020,France,-3.347352181
2021,France,-1.202940868
2022,France,-3.699643665
1995,Germany,-1.371786278
1996,Germany,-0.826853616
1997,Germany,-0.570124672
1998,Germany,-0.771487575
1999,Germany,-1.472410511
2000,Germany,-1.946005149
2001,Germany,-0.510922699
2002,Germany,1.685849726
2003,Germany,1.665377989
2004,Germany,4.496048654
2005,Germany,4.600906346
2006,Germany,5.798421856
2007,Germany,6.877237903
2008,Germany,5.534520065
2009,Germany,5.846352623
2010,Germany,5.843472157
2011,Germany,6.042189519
2012,Germany,7.093588702
2013,Germany,6.464616643
2014,Germany,7.3334973
2015,Germany,8.571168932
2016,Germany,8.584348303
2017,Germany,7.789088995
