Year,Sector,Value
1995,Corporate,-1.442398558
1996,Corporate,-1.55198996
1997,Corporate,-1.80573838
1998,Corporate,-1.525186254
1999,Corporate,-3.408968912
2000,Corporate,-5.055543846
2001,Corporate,-3.845358531
2002,Corporate,-1.533355883
2003,Corporate,0.911045875
2004,Corporate,0.464375335
2005,Corporate,0.51224344
2006,Corporate,-0.908468396
2007,Corporate,-2.730609198
2008,Corporate,-0.477974398
2009,Corporate,2.235921699
2010,Corporate,1.134808738
2011,Corporate,2.369195051
2012,Corporate,1.839220641
2013,Corporate,-1.68410558
2014,Corporate,-1.078703301
2015,Corporate,-3.715826807
2016,Corporate,-2.822189697
2017,Corporate,-0.971917164
2018,Corporate,-1.209912726
2019,Corporate,-0.016518042
2020,Corporate,1.660846804
2021,Corporate,2.361433208
2022,Corporate,0.450129081
1995,General government,-5.172185081
1996,General government,-3.819809603
1997,General government,-2.20756132
1998,General government,-0.430845838
1999,General government,0.61442725
2000,General government,1.332452723
2001,General government,0.314709873
2002,General government,-1.977860386
2003,General government,-3.23848835
2004,General government,-3.188403167
2005,General government,-3.173192617
2006,General government,-2.794153412
2007,General government,-2.680047157
2008,General government,-5.157567771
2009,General government,-10.09741723
2010,General government,-9.253409742
2011,General government,-7.420169735
2012,General government,-8.014868283
2013,General government,-5.381727791
2014,General government,-5.576011778
2015,General government,-4.621615684
2016,General government,-3.338496569
2017,General government,-2.504511444
2018,General government,-2.273517124
2019,General government,-2.481063565
2020,General government,-13.14083433
2021,General government,-7.860236008
2022,General government,-4.711930954
1995,Household,6.126231885
1996,Household,5.06080816
1997,Household,3.961065864
1998,Household,1.682421951
1999,Household,0.688426913
2000,Household,1.949122055
2001,Household,1.970797506
2002,Household,1.517492713
2003,Household,0.515046085
2004,Household,0.440937309
2005,Household,0.350599
2006,Household,0.524918514
2007,Household,1.723964919
2008,Household,1.855233434
2009,Household,4.881385742
2010,Household,5.349901433
2011,Household,3.369561949
2012,Household,2.998456569
2013,Household,2.307393055
2014,Household,1.43590867
2015,Household,3.236659847
2016,Household,0.592726113
2017,Household,-0.527735654
2018,Household,-0.610787324
2019,Household,-0.272077661
2020,Household,8.360452562
2021,Household,4.938971025
2022,Household,0.867339406
1995,Total,-0.369433406
1996,Total,-0.175385965
1997,Total,-0.086217295
1998,Total,-0.307961634
1999,Total,-2.139088692
2000,Total,-1.795499804
2001,Total,-1.767156574
2002,Total,-2.030066164
2003,Total,-1.828052012
2004,Total,-2.294885142
2005,Total,-2.057838826
2006,Total,-3.223761887
2007,Total,-3.744892813
2008,Total,-3.85749247
2009,Total,-3.064303894
2010,Total,-2.817066021
2011,Total,-1.689652891
2012,Total,-3.194930312
2013,Total,-4.724702068
2014,Total,-5.134619122
2015,Total,-5.044532837
2016,Total,-5.527892772
2017,Total,-3.96238719
2018,Total,-4.053191371
2019,Total,-2.74709804
2020,Total,-3.012420353
2021,Total,-0.571039793
2022,Total,-3.249260824
