Country,Year,Value
United States,1961,3.1078848748441743
Canada,1961,3.084345021912085
United States,1962,3.215345975872068
Canada,1962,4.341589340542121
United States,1963,3.374882242405081
Canada,1963,3.4915794062692718
United States,1964,2.9516689997086836
Canada,1964,2.8378186909815
United States,1965,2.5659131262605226
Canada,1965,1.9231998037065436
United States,1966,2.6494206288345064
Canada,1966,1.0284846410835227
United Kingdom,1967,2.646966800074982
United States,1967,2.4062270318362655
Canada,1967,1.400162653424133
United Kingdom,1968,2.110721539930543
United States,1968,1.8639112466839627
Canada,1968,2.740142284054639
United Kingdom,1969,0.5687142315563963
United States,1969,2.851773364219036
Canada,1969,2.987357392469301
United Kingdom,1970,-1.829361509527888
United States,1970,2.514918207676119
Canada,1970,3.2893302092621868
United Kingdom,1971,-0.44971210171017123
United States,1971,0.6219920275612227
Canada,1971,1.4749885173918802
United Kingdom,1972,0.29084170140193627
United States,1972,0.8839652181244488
Canada,1972,0.1643790927569942
United Kingdom,1973,-0.38267681300409917
United States,1973,2.409693847438143
Canada,1973,-2.0767743656087707
United Kingdom,1974,-5.266168892875308
United States,1974,1.6510659666039944
Canada,1974,-4.170201382429829
United Kingdom,1975,-12.16740698521048
United States,1975,-1.2815805405059535
Canada,1975,-1.4244145367959733
United Kingdom,1976,-3.4857900936374735
United States,1976,1.2667903810319
Canada,1976,1.1566470074661561
United Kingdom,1977,-4.220039216195648
United States,1977,0.5751010109735852
Canada,1977,1.6702643303065954
United Kingdom,1978,-2.1213430856335176
United States,1978,1.8898082118975694
Canada,1978,2.6780834824918043
United Kingdom,1979,-0.3258913483817038
United States,1979,4.03438928866804
Canada,1979,2.567258501748498
United Kingdom,1980,-2.832918830971842
United States,1980,5.716362863586948
Canada,1980,3.8108912380127147
United Kingdom,1981,1.5109332569157825
United States,1981,8.59460069233457
Canada,1981,7.595054218052651
United Kingdom,1982,4.2005616173381
United States,1982,8.17720821228698
Canada,1982,6.418826731042974
United Kingdom,1983,4.4732985618016485
United States,1983,6.618035468942819
Canada,1983,5.048162643449211
United Kingdom,1984,4.427354465384219
United States,1984,8.140906601926757
Canada,1984,8.225484220417764
United Kingdom,1985,6.389135547437114
United States,1985,6.563243833655473
Canada,1985,7.010893241333081
United Kingdom,1986,6.293170989893342
United States,1986,6.193869587084842
Canada,1986,7.164049119304354
United Kingdom,1987,4.0733388824985095
United States,1987,5.587520283455384
Canada,1987,4.512987544674768
United Kingdom,1988,3.7335499181348255
United States,1988,5.590302237069634
Canada,1988,6.020026082628753
United Kingdom,1989,5.471718172396264
United States,1989,6.6902646662395
Canada,1989,8.26516670894713
Italy,1989,8.29134836509294
United Kingdom,1990,6.3788486761008825
United States,1990,6.039749853491634
Canada,1990,10.362805758868975
Italy,1990,5.452176099526036
United Kingdom,1991,4.957660347221332
United States,1991,4.915295961203665
Canada,1991,6.6766405650627965
Italy,1991,6.585797061879798
United Kingdom,1992,6.04185527473246
United States,1992,3.884294897661429
Canada,1992,5.921223468180074
Italy,1992,11.647044812279741
United Kingdom,1993,3.1933144135103615
United States,1993,3.545632163814808
Canada,1993,4.589299084613541
Japan,1993,4.312357954897857
Italy,1993,10.340071283103576
United Kingdom,1994,4.0132304216178145
United States,1994,4.898541338048453
Canada,1994,5.341614839810419
Japan,1994,3.9392491799894698
Italy,1994,8.152557559616064
United Kingdom,1995,-4.301166931070285
United States,1995,6.594217971110523
Canada,1995,6.241247833536359
Japan,1995,4.050494996968268
Italy,1995,7.920644403621709
United Kingdom,1996,1.7488999753632055
United States,1996,6.324285987508511
Canada,1996,4.314937903285932
Japan,1996,3.1172546808875126
Italy,1996,7.9522525442028105
United Kingdom,1997,6.720383583185439
United States,1997,6.603347423592494
Canada,1997,3.7710592700584833
Japan,1997,1.9346131537908464
Italy,1997,7.743308890971416
United Kingdom,1998,5.884892440592936
United States,1998,7.149945264678481
Canada,1998,6.792361779889724
Japan,1998,2.3482234255022942
Italy,1998,6.094069226911199
United Kingdom,1999,3.917477268081782
United States,1999,6.487267351430267
Canada,1999,4.4284474226811525
Japan,1999,3.4446343617506967
Italy,1999,4.736635743815987
United Kingdom,2000,4.765491917506805
United States,2000,6.813792458514205
Canada,2000,2.7752397905200215
Japan,2000,3.4495213335293435
Italy,2000,5.138245885904864
United Kingdom,2001,3.563385019221072
United States,2001,4.567138943649962
Canada,2001,4.173151320435137
Japan,2001,3.0877953846994632
Italy,2001,4.1289038753951335
United Kingdom,2002,1.8382407588140137
United States,2002,3.0732472423634976
Canada,2002,2.9141635874535474
Japan,2002,3.301822932938832
Italy,2002,3.158738553550886
United Kingdom,2003,1.2725658745619277
United States,2003,2.1065944904453655
Canada,2003,1.3925100777027803
Japan,2003,3.485828840349401
Italy,2003,2.6006777316027794
United Kingdom,2004,1.7147911062796992
United States,2004,1.6076804608089537
Canada,2004,0.7157852474095936
Japan,2004,2.9242406090067172
Italy,2004,2.762226465295315
United Kingdom,2005,1.6644886561683907
United States,2005,2.9608752131304388
Canada,2005,1.2607355909186568
Japan,2005,2.9056280599987665
Italy,2005,3.2382698096557663
United Kingdom,2006,1.801227475078279
United States,2006,4.7278636699075784
Canada,2006,3.1610820580593106
Japan,2006,2.5488230459261203
Italy,2006,3.4241667116035637
United Kingdom,2007,3.184462447594439
United States,2007,5.199863763119779
Canada,2007,2.7140428009846462
Japan,2007,2.606878389130298
Italy,2007,3.7624346754647613
United Kingdom,2008,1.2301623866189713
United States,2008,3.1010422197860636
Canada,2008,0.7046886238081584
Japan,2008,2.846981385919666
Italy,2008,4.332593826376264
United Kingdom,2009,-1.223114798144166
United States,2009,2.6170776546007923
Canada,2009,4.833121719243554
Japan,2009,2.306032610859529
Italy,2009,3.0270090987760616
United Kingdom,2010,-1.066845257448284
United States,2010,2.01028262116756
Canada,2010,-0.237699890817205
Japan,2010,3.545761915053872
Italy,2010,3.5796857929565413
United Kingdom,2011,-1.65299755101744
United States,2011,1.1628986522835818
Canada,2011,-0.23677317594109296
Japan,2011,3.1744896870136072
Italy,2011,2.944663725535147
United Kingdom,2012,-1.0230607320536957
United States,2012,1.362463749765713
Canada,2012,1.7601103389448594
Japan,2012,2.1800765281858063
Italy,2012,3.619198646830145
United Kingdom,2013,-1.583539432172256
United States,2013,1.522213388619228
Canada,2013,1.2377166906658128
Japan,2013,1.6640219329592725
Italy,2013,3.951211997463773
United Kingdom,2014,-0.8071418738427717
United States,2014,1.4825613905922823
Canada,2014,1.0386389733822456
Japan,2014,-0.459381591769
Italy,2014,3.917647828218787
United States,2015,2.310514640598371
Canada,2015,3.6745334500242897
Japan,2015,-0.9484412298049936
Italy,2015,3.1678662337112153
United States,2016,2.5372322985710367
Canada,2016,1.9689052391642192
Japan,2016,0.6221927604370295
Italy,2016,2.3353258767356113
United States,2017,2.2652963801397283
Canada,2017,0.12575223729818955
Japan,2017,1.0691444072900325
Italy,2017,2.2580886386256394
United States,2018,2.5547498751073885
Italy,2018,1.5948330304383653
United States,2019,3.544497456735186
Italy,2019,1.6489171402190819
United States,2020,2.194566423461841
Italy,2020,0.7375152460162036
United States,2021,-1.2762333113845887
Italy,2021,0.7580066704548463
Italy,2022,-1.2934999243697929
Italy,2023,-0.3616619920636605
