Country,Year,Value
Canada,2001,81.46203332
France,2001,59.01053179
Germany,2001,57.58368139
Italy,2001,108.5130412
Japan,2001,145.1235287
Spain,2001,54.05222781
United Kingdom,2001,34.95774931
United States,2001,54.5283207
Canada,2002,79.60406938
France,2002,60.88816869
Germany,2002,59.26525619
Italy,2002,105.9475125
Japan,2002,154.0956573
Spain,2002,51.23686765
United Kingdom,2002,35.43454596
United States,2002,56.94144989
Canada,2003,75.91179736
France,2003,65.02864474
Germany,2003,62.70924353
Italy,2003,105.1408036
Japan,2003,160.0207608
Spain,2003,47.6869489
United Kingdom,2003,36.76368913
United States,2003,59.92677487
Canada,2004,71.88939989
France,2004,66.56615918
Germany,2004,64.33306876
Italy,2004,104.7417626
Japan,2004,169.4899272
Spain,2004,45.33269578
United Kingdom,2004,39.80162357
United States,2004,67.41817155
Canada,2005,70.64040968
France,2005,68.03876766
Germany,2005,66.46009176
Italy,2005,106.1755963
Japan,2005,174.5946973
Spain,2005,42.39518996
United Kingdom,2005,41.00035103
United States,2005,67.25717069
Canada,2006,69.91983183
France,2006,65.3247489
Germany,2006,65.75402485
Italy,2006,106.2530696
Japan,2006,174.1425625
Spain,2006,39.01905817
United Kingdom,2006,42.05835719
United States,2006,66.05185443
Canada,2007,67.18135265
France,2007,65.36139613
Germany,2007,63.08144063
Italy,2007,103.4537949
Japan,2007,172.951094
Spain,2007,35.69812712
United Kingdom,2007,43.17389782
United States,2007,66.6084184
Canada,2008,70.35535029
France,2008,69.73569299
Germany,2008,64.5862037
Italy,2008,105.7876775
Japan,2008,180.850693
Spain,2008,39.60879991
United Kingdom,2008,50.82737199
United States,2008,75.11811562
Canada,2009,81.80412312
France,2009,84.03127004
Germany,2009,71.71568058
Italy,2009,116.1212758
Japan,2009,198.8068212
Spain,2009,53.07927921
United Kingdom,2009,64.91501173
United States,2009,88.07565245
Canada,2010,83.97621197
France,2010,86.313311
Germany,2010,80.37552656
Italy,2010,118.7371277
Japan,2010,205.879288
Spain,2010,60.26603011
United Kingdom,2010,75.86022966
United States,2010,96.44237564
Canada,2011,84.28629648
France,2011,88.91020026
Germany,2011,77.84923266
Italy,2011,119.1057312
Japan,2011,219.1616226
Spain,2011,69.52840974
United Kingdom,2011,81.42506571
United States,2011,100.471425
Canada,2012,87.15094836
France,2012,91.71755703
Germany,2012,79.15729294
Italy,2012,125.8704959
Japan,2012,226.0928327
Spain,2012,89.56037961
United Kingdom,2012,84.48260067
United States,2012,104.0636645
Canada,2013,87.60507968
France,2013,94.68682546
Germany,2013,76.79466254
Italy,2013,131.8163027
Japan,2013,229.4507221
Spain,2013,100.0003129
United Kingdom,2013,85.3160589
United States,2013,105.0550822
Canada,2014,85.54051385
France,2014,96.31750447
Germany,2014,73.82303185
Italy,2014,134.755343
Japan,2014,233.2811306
Spain,2014,104.4176164
United Kingdom,2014,87.0943252
United States,2014,104.8994484
Canada,2015,92.0288519
France,2015,97.07373255
Germany,2015,70.55988203
Italy,2015,134.7455685
Japan,2015,228.2783713
Spain,2015,102.4421245
United Kingdom,2015,87.86668691
United States,2015,105.0680077
Canada,2016,92.39682356
France,2016,98.02477834
Germany,2016,67.63065101
Italy,2016,134.1955127
Japan,2016,232.4212302
Spain,2016,101.9665028
United Kingdom,2016,87.82518973
United States,2016,107.1598466
Canada,2017,90.9422458
France,2017,98.48331173
Germany,2017,63.95237623
Italy,2017,133.6890288
Japan,2017,231.320766
Spain,2017,101.1442386
United Kingdom,2017,86.72315055
United States,2017,105.9971599
Canada,2018,90.77611907
France,2018,98.15910424
Germany,2018,60.7285355
Italy,2018,134.1380157
Japan,2018,232.3803007
Spain,2018,99.71828272
United Kingdom,2018,86.34546978
United States,2018,107.163901
Canada,2019,90.21016501
France,2019,97.88586068
Germany,2019,58.55613203
Italy,2019,133.8227391
Japan,2019,236.378031
Spain,2019,97.57881607
United Kingdom,2019,85.65750535
United States,2019,108.4530978
Canada,2020,118.2003641
France,2020,114.8530178
Germany,2020,67.85816989
Italy,2020,154.2880445
Japan,2020,258.3735014
Spain,2020,119.1789807
United Kingdom,2020,105.8001091
United States,2020,132.5602046
Canada,2021,113.4832902
France,2021,113.0879035
Germany,2021,67.87882909
Italy,2021,145.7346899
Japan,2021,253.6526567
Spain,2021,115.5939142
United Kingdom,2021,105.1960112
United States,2021,125.4422746
Canada,2022,107.3679953
France,2022,111.9513018
Germany,2022,64.78935721
Italy,2022,138.3491321
Japan,2022,256.2970555
Spain,2022,109.40393
United Kingdom,2022,100.4323257
United States,2022,120.4369079
Canada,2023,107.4946579
France,2023,110.6417894
Germany,2023,62.66008052
Italy,2023,134.7937332
Japan,2023,249.6689567
Spain,2023,105.0342587
United Kingdom,2023,101.1470743
United States,2023,123.010773
