country,year,value
Canada,1960,17.85495
Canada,1961,17.44911
Canada,1962,17.295919
Canada,1963,17.71368
Canada,1964,18.123819
Canada,1965,19.491819
Canada,1966,23.488029
Canada,1967,28.06843
Canada,1968,29.6814
Canada,1969,30.7971
Canada,1970,31.939989
Canada,1971,32.653149
Canada,1972,34.907318
Canada,1973,36.52095
Canada,1974,40.123749
Canada,1975,44.708549
Canada,1976,45.583401
Canada,1977,53.859501
Canada,1978,62.41774
Canada,1979,64.811546
Canada,1980,66.511742
Canada,1981,73.01561
Canada,1982,81.284187
Canada,1983,75.550659
Canada,1984,72.481659
Canada,1985,73.110977
Canada,1986,75.02713
Canada,1987,74.816887
Canada,1988,76.345139
Canada,1989,80.738808
Canada,1990,86.100723
Canada,1991,91.672531
Canada,1992,91.988747
Canada,1993,91.457748
Canada,1994,88.569504
Canada,1995,88.884972
Canada,1996,91.214211
Canada,1997,94.797836
Canada,1998,96.977097
Canada,1999,94.432228
Canada,2000,91.077202
Canada,2001,132.6187
Canada,2002,168.2695
Canada,2003,161.8271
Canada,2004,159.0448
Canada,2005,164.4711
Canada,2006,177.30991
Canada,2007,152.80099
Canada,2008,122.6935
Canada,2009,
Canada,2010,
Canada,2011,
Canada,2012,
Canada,2013,
Canada,2014,
Canada,2015,
Canada,2016,
Canada,2017,
France,1960,19.883329
France,1961,20.10659
France,1962,21.640711
France,1963,22.50157
France,1964,22.76824
France,1965,23.71277
France,1966,24.78145
France,1967,26.51564
France,1968,29.19515
France,1969,30.101629
France,1970,30.81953
France,1971,32.217041
France,1972,34.829929
France,1973,36.483181
France,1974,37.452862
France,1975,38.337662
France,1976,39.162861
France,1977,42.223469
France,1978,55.404591
France,1979,66.632698
France,1980,67.402992
France,1981,67.518677
France,1982,67.139847
France,1983,68.554207
France,1984,70.056664
France,1985,71.380157
France,1986,71.993332
France,1987,76.992462
France,1988,79.354057
France,1989,82.587578
France,1990,87.402443
France,1991,91.286133
France,1992,91.907173
France,1993,91.477013
France,1994,86.164177
France,1995,83.608253
France,1996,81.832298
France,1997,79.338547
France,1998,
France,1999,
France,2000,81.290466
France,2001,76.65136
France,2002,75.588203
France,2003,74.995377
France,2004,74.637833
France,2005,77.146591
France,2006,80.621094
France,2007,84.238312
France,2008,90.179207
France,2009,95.013702
France,2010,94.122597
France,2011,94.932503
France,2012,96.113411
France,2013,95.63282
France,2014,94.438187
France,2015,93.57991
France,2016,94.951981
France,2017,96.809288
Germany,1960,41.765911
Germany,1961,41.639271
Germany,1962,47.733891
Germany,1963,54.246479
Germany,1964,55.373562
Germany,1965,57.07653
Germany,1966,59.51376
Germany,1967,63.414001
Germany,1968,64.354713
Germany,1969,65.204613
Germany,1970,56.532871
Germany,1971,57.958141
Germany,1972,60.978642
Germany,1973,62.228901
Germany,1974,62.910648
Germany,1975,63.838791
Germany,1976,63.013531
Germany,1977,64.833923
Germany,1978,66.636124
Germany,1979,68.337334
Germany,1980,70.906952
Germany,1981,73.689308
Germany,1982,75.017517
Germany,1983,76.024483
Germany,1984,77.301086
Germany,1985,78.915749
Germany,1986,78.483299
Germany,1987,79.297127
Germany,1988,77.950218
Germany,1989,77.321747
Germany,1990,79.584839
Germany,1991,102.1866
Germany,1992,85.514397
