Country,Year,Value
United Kingdom,2015,57.996682
Italy,2015,53.221214
Italy,1972,27.746943
United Kingdom,1975,26.235832
Italy,1973,29.552664
Japan,1973,16.795891
Japan,1974,17.159121
France,1971,25.08378
United Kingdom,1977,28.345131
Italy,1977,34.014956
Germany,1971,26.088089
Canada,1970,28.553067
France,1970,23.895838
Germany,1979,35.906958
United States,1977,38.650575
France,1977,32.177911
Spain,1977,26.693897
Canada,1977,34.186269
Spain,1978,27.943932
Canada,1978,34.455588
United Kingdom,1976,27.407998
United States,1976,38.242547
France,1976,30.736344
Japan,1981,22.016203
Germany,1980,36.209255
Italy,1980,37.709445
United Kingdom,1984,35.219248
Germany,1972,27.388072
United Kingdom,1973,26.647262
Germany,1978,34.907447
Italy,1978,35.189797
Spain,1981,32.128654
United States,1984,41.86562
France,1984,40.521273
Japan,1982,22.575418
Spain,1986,38.768986
Canada,1986,36.758123
Italy,1986,41.048174
United Kingdom,1983,35.541782
Italy,1987,41.833545
Germany,1987,41.507998
Germany,1988,42.578714
United States,1985,42.635509
France,1985,42.149867
Spain,1985,38.24413
Canada,1985,37.074654
Japan,1992,32.742608
United States,1992,47.766894
France,1992,49.384037
United Kingdom,1991,39.191431
Japan,1991,32.274529
United States,1993,47.94876
France,1993,49.843589
Spain,1993,43.074685
Canada,1993,39.205668
Spain,1994,44.336274
Canada,1994,39.985071
Italy,1994,48.470113
United Kingdom,2022,60.481922
Italy,1995,49.907066
Germany,1995,51.390581
United Kingdom,1998,47.536681
Germany,1996,52.255597
Japan,1999,37.939032
United States,1997,50.386032
United Kingdom,1997,46.302336
Japan,2000,39.036502
Italy,1974,31.189036
Spain,1974,24.326337
Canada,1974,30.998042
France,1973,28.316172
Germany,1973,28.785134
United States,1973,36.673833
Spain,1972,21.883236
Canada,1972,30.285722
France,1972,26.770497
United Kingdom,1972,26.170813
France,2000,57.168797
Italy,2003,52.31578
Germany,2003,58.437853
Germany,2004,58.970058
United States,2004,60.508037
Spain,2002,45.105579
Canada,2002,45.677371
Italy,2002,52.689151
United Kingdom,2006,56.146209
France,2001,58.238429
Spain,2001,45.035756
Canada,2001,44.95294
United States,2005,61.772075
United Kingdom,2005,55.109409
United States,2021,74.838217
United Kingdom,2021,59.878307
Japan,2007,42.869805
France,2009,61.685771
Spain,2009,47.573943
Canada,2009,47.844174
Spain,2010,48.783311
Canada,2010,48.363874
Italy,2010,52.656139
Germany,2012,63.093299
United States,2012,68.118059
Japan,2008,42.745248
France,2008,62.323215
Germany,2020,67.800802
United States,2020,73.957559
