Year,Sector,Value
1997,Manufacture of beverages and tobacco products,73.4464287
1998,Manufacture of beverages and tobacco products,68.6826211
1999,Manufacture of beverages and tobacco products,72.57549664
2000,Manufacture of beverages and tobacco products,76.2949849
2001,Manufacture of beverages and tobacco products,73.46492003
2002,Manufacture of beverages and tobacco products,81.76712736
2003,Manufacture of beverages and tobacco products,87.56866971
2004,Manufacture of beverages and tobacco products,96.94159719
2005,Manufacture of beverages and tobacco products,97.38363122
2006,Manufacture of beverages and tobacco products,114.9559024
2007,Manufacture of beverages and tobacco products,116.7890372
2008,Manufacture of beverages and tobacco products,123.5073726
2009,Manufacture of beverages and tobacco products,127.131702
2010,Manufacture of beverages and tobacco products,124.8370879
2011,Manufacture of beverages and tobacco products,112.4656674
2012,Manufacture of beverages and tobacco products,110.5150162
2013,Manufacture of beverages and tobacco products,98.70375584
2014,Manufacture of beverages and tobacco products,104.1115511
2015,Manufacture of beverages and tobacco products,89.15832058
2016,Manufacture of beverages and tobacco products,88.16752234
2017,Manufacture of beverages and tobacco products,106.0307943
2018,Manufacture of beverages and tobacco products,97.88477227
2019,Manufacture of beverages and tobacco products,91.9573977
2020,Manufacture of beverages and tobacco products,114.8747338
2021,Manufacture of beverages and tobacco products,118.9653011
2022,Manufacture of beverages and tobacco products,100
2023,Manufacture of beverages and tobacco products,95.13354295
1997,"Financial service activities, except insurance and pension funding",78.87383312
1998,"Financial service activities, except insurance and pension funding",85.67164006
1999,"Financial service activities, except insurance and pension funding",78.83352519
2000,"Financial service activities, except insurance and pension funding",80.77507219
2001,"Financial service activities, except insurance and pension funding",84.66797053
2002,"Financial service activities, except insurance and pension funding",99.58392785
2003,"Financial service activities, except insurance and pension funding",108.7595482
2004,"Financial service activities, except insurance and pension funding",124.0492267
2005,"Financial service activities, except insurance and pension funding",128.3241395
2006,"Financial service activities, except insurance and pension funding",145.0037551
2007,"Financial service activities, except insurance and pension funding",160.0475683
2008,"Financial service activities, except insurance and pension funding",151.2991912
2009,"Financial service activities, except insurance and pension funding",145.6504279
2010,"Financial service activities, except insurance and pension funding",139.0561368
2011,"Financial service activities, except insurance and pension funding",134.7424961
2012,"Financial service activities, except insurance and pension funding",136.9513907
2013,"Financial service activities, except insurance and pension funding",131.1784931
2014,"Financial service activities, except insurance and pension funding",117.2531172
2015,"Financial service activities, except insurance and pension funding",119.040239
2016,"Financial service activities, except insurance and pension funding",126.466917
2017,"Financial service activities, except insurance and pension funding",130.643104
2018,"Financial service activities, except insurance and pension funding",118.2167566
2019,"Financial service activities, except insurance and pension funding",111.2638442
2020,"Financial service activities, except insurance and pension funding",101.6610211
2021,"Financial service activities, except insurance and pension funding",98.45560053
2022,"Financial service activities, except insurance and pension funding",100
2023,"Financial service activities, except insurance and pension funding",92.52992732
1997,"Insurance, reinsurance and pension funding, except compulsory social security",74.53698926
1998,"Insurance, reinsurance and pension funding, except compulsory social security",68.42714973
1999,"Insurance, reinsurance and pension funding, except compulsory social security",68.81311976
2000,"Insurance, reinsurance and pension funding, except compulsory social security",72.38770517
2001,"Insurance, reinsurance and pension funding, except compulsory social security",60.22513702
2002,"Insurance, reinsurance and pension funding, except compulsory social security",48.60369234
2003,"Insurance, reinsurance and pension funding, except compulsory social security",43.47338315
2004,"Insurance, reinsurance and pension funding, except compulsory social security",39.96349338
2005,"Insurance, reinsurance and pension funding, except compulsory social security",60.18933425
2006,"Insurance, reinsurance and pension funding, except compulsory social security",36.17666022
2007,"Insurance, reinsurance and pension funding, except compulsory social security",55.23979147
2008,"Insurance, reinsurance and pension funding, except compulsory social security",57.22999562
2009,"Insurance, reinsurance and pension funding, except compulsory social security",58.01942717
2010,"Insurance, reinsurance and pension funding, except compulsory social security",68.84774842
2011,"Insurance, reinsurance and pension funding, except compulsory social security",57.53967215
2012,"Insurance, reinsurance and pension funding, except compulsory social security",64.8728339
2013,"Insurance, reinsurance and pension funding, except compulsory social security",58.98869073
2014,"Insurance, reinsurance and pension funding, except compulsory social security",76.30611095
2015,"Insurance, reinsurance and pension funding, except compulsory social security",66.07697973
2016,"Insurance, reinsurance and pension funding, except compulsory social security",64.53274931
2017,"Insurance, reinsurance and pension funding, except compulsory social security",82.38249648
2018,"Insurance, reinsurance and pension funding, except compulsory social security",82.33116935
2019,"Insurance, reinsurance and pension funding, except compulsory social security",74.86349762
2020,"Insurance, reinsurance and pension funding, except compulsory social security",84.6323089
2021,"Insurance, reinsurance and pension funding, except compulsory social security",93.96108028
2022,"Insurance, reinsurance and pension funding, except compulsory social security",100
2023,"Insurance, reinsurance and pension funding, except compulsory social security",96.72604422
1997,Activities auxiliary to financial services and insurance activities,39.33375891
1998,Activities auxiliary to financial services and insurance activities,38.71891533
1999,Activities auxiliary to financial services and insurance activities,42.12602516
2000,Activities auxiliary to financial services and insurance activities,51.24403087
2001,Activities auxiliary to financial services and insurance activities,48.25296519
2002,Activities auxiliary to financial services and insurance activities,55.32938292
2003,Activities auxiliary to financial services and insurance activities,59.66281263
2004,Activities auxiliary to financial services and insurance activities,56.87418013
2005,Activities auxiliary to financial services and insurance activities,49.72575274
2006,Activities auxiliary to financial services and insurance activities,54.96095179
2007,Activities auxiliary to financial services and insurance activities,61.0269339
2008,Activities auxiliary to financial services and insurance activities,72.4050483
2009,Activities auxiliary to financial services and insurance activities,78.29786345
2010,Activities auxiliary to financial services and insurance activities,74.71841993
2011,Activities auxiliary to financial services and insurance activities,66.2915201
2012,Activities auxiliary to financial services and insurance activities,63.23934573
2013,Activities auxiliary to financial services and insurance activities,67.69874101
2014,Activities auxiliary to financial services and insurance activities,65.29882881
2015,Activities auxiliary to financial services and insurance activities,68.21380354
2016,Activities auxiliary to financial services and insurance activities,73.15048331
2017,Activities auxiliary to financial services and insurance activities,81.89236056
2018,Activities auxiliary to financial services and insurance activities,84.9350963
2019,Activities auxiliary to financial services and insurance activities,90.34745521
