Date,Value
31-Dec-24,442376
30-Nov-24,438093
31-Oct-24,437544
30-Sep-24,433968
31-Aug-24,433173
31-Jul-24,431267
30-Jun-24,428782
31-May-24,428297
30-Apr-24,427682
31-Mar-24,426642
29-Feb-24,425636
31-Jan-24,427198
31-Dec-23,426349
30-Nov-23,426920
31-Oct-23,426809
30-Sep-23,427510
31-Aug-23,427406
31-Jul-23,427179
30-Jun-23,425966
31-May-23,427865
30-Apr-23,427215
31-Mar-23,426544
28-Feb-23,427031
31-Jan-23,427107
31-Dec-22,429396
30-Nov-22,427878
31-Oct-22,428431
30-Sep-22,428712
31-Aug-22,429174
31-Jul-22,428440
30-Jun-22,428681
31-May-22,430017
30-Apr-22,429734
31-Mar-22,429396
28-Feb-22,427872
31-Jan-22,427707
31-Dec-21,426564
30-Nov-21,425624
31-Oct-21,426822
30-Sep-21,423573
31-Aug-21,426495
31-Jul-21,427930
30-Jun-21,430292
31-May-21,423321
30-Apr-21,425227
31-Mar-21,429987
28-Feb-21,427412
31-Jan-21,426150
31-Dec-20,428238
30-Nov-20,428546
31-Oct-20,427654
30-Sep-20,429581
31-Aug-20,430353
31-Jul-20,432433
30-Jun-20,433641
31-May-20,431262
30-Apr-20,419736
31-Mar-20,419467
29-Feb-20,390519
31-Jan-20,392149
31-Dec-19,393067
30-Nov-19,394962
31-Oct-19,394790
30-Sep-19,391673
31-Aug-19,389812
31-Jul-19,387773
30-Jun-19,388234
31-May-19,385774
30-Apr-19,385167
31-Mar-19,386319
28-Feb-19,385829
31-Jan-19,385954
31-Dec-18,383366
30-Nov-18,382355
31-Oct-18,379183
30-Sep-18,377854
31-Aug-18,377003
31-Jul-18,376945
30-Jun-18,375402
31-May-18,373055
30-Apr-18,372798
31-Mar-18,338089
28-Feb-18,337563
31-Jan-18,335778
31-Dec-17,335608
30-Nov-17,335391
31-Oct-17,335413
30-Sep-17,335726
31-Aug-17,328549
31-Jul-17,329016
30-Jun-17,361910
31-May-17,361566
30-Apr-17,359593
31-Mar-17,358044
28-Feb-17,354914
31-Jan-17,354132
31-Dec-16,352496
30-Nov-16,353194
31-Oct-16,353073
30-Sep-16,352813
31-Aug-16,354648
31-Jul-16,353683
30-Jun-16,352645
31-May-16,350711
30-Apr-16,350454
31-Mar-16,350884
29-Feb-16,351019
31-Jan-16,349281
31-Dec-15,345662
30-Nov-15,345762
31-Oct-15,345373
30-Sep-15,344131
31-Aug-15,343931
31-Jul-15,344314
30-Jun-15,343423
31-May-15,347425
30-Apr-15,349575
31-Mar-15,352730
28-Feb-15,350267
31-Jan-15,350446
31-Dec-14,351142
30-Nov-14,353788
31-Oct-14,355467
30-Sep-14,358423
31-Aug-14,360683
31-Jul-14,360925
30-Jun-14,361038
31-May-14,360990
30-Apr-14,361394
31-Mar-14,361996
28-Feb-14,367220
31-Jan-14,368088
31-Dec-13,371048
30-Nov-13,370401
31-Oct-13,369037
30-Sep-13,369184
31-Aug-13,369745
31-Jul-13,372717
30-Jun-13,373676
31-May-13,374831
30-Apr-13,377250
31-Mar-13,383958
28-Feb-13,384962
31-Jan-13,389027
31-Dec-12,387188
30-Nov-12,389370
31-Oct-12,392923
30-Sep-12,394135
31-Aug-12,396409
31-Jul-12,399371
30-Jun-12,400279
31-May-12,401037
30-Apr-12,399531
31-Mar-12,400382
29-Feb-12,400206
31-Jan-12,403037
31-Dec-11,404181
30-Nov-11,407895
31-Oct-11,406867
30-Sep-11,411722
31-Aug-11,411761
31-Jul-11,411459
30-Jun-11,413262
31-May-11,416777
30-Apr-11,420458
31-Mar-11,420221
28-Feb-11,421404
31-Jan-11,424847
31-Dec-10,426231
30-Nov-10,433679
31-Oct-10,437983
30-Sep-10,447436
31-Aug-10,451283
31-Jul-10,453131
30-Jun-10,455996
31-May-10,456120
30-Apr-10,458187
31-Mar-10,460489
28-Feb-10,463491
31-Jan-10,464262
31-Dec-09,472926
30-Nov-09,472035
31-Oct-09,474261
30-Sep-09,475607
31-Aug-09,480020
31-Jul-09,480075
30-Jun-09,488355
31-May-09,490605
30-Apr-09,490235
31-Mar-09,494729
28-Feb-09,495929
31-Jan-09,495263
31-Dec-08,492446
30-Nov-08,492816
31-Oct-08,495451
30-Sep-08,492525
31-Aug-08,488743
31-Jul-08,487432
30-Jun-08,484555
31-May-08,480955
30-Apr-08,478792
31-Mar-08,473148
29-Feb-08,466460
31-Jan-08,455865
31-Dec-07,455994
30-Nov-07,452562
31-Oct-07,446635
30-Sep-07,439265
31-Aug-07,433791
31-Jul-07,427183
30-Jun-07,419904
31-May-07,415340
30-Apr-07,410189
31-Mar-07,404555
28-Feb-07,400147
31-Jan-07,396550
31-Dec-06,395198
30-Nov-06,389564
31-Oct-06,386203
30-Sep-06,384532
31-Aug-06,379542
31-Jul-06,373876
30-Jun-06,367201
31-May-06,361936
30-Apr-06,357337
31-Mar-06,353661
28-Feb-06,348157
31-Jan-06,346582
31-Dec-05,341772
30-Nov-05,340751
31-Oct-05,337518
30-Sep-05,335022
31-Aug-05,330681
31-Jul-05,306929
30-Jun-05,306213
31-May-05,298926
30-Apr-05,296640
31-Mar-05,293552
28-Feb-05,290112
31-Jan-05,286691
31-Dec-04,282026
30-Nov-04,276227
31-Oct-04,278232
30-Sep-04,275565
31-Aug-04,273331
31-Jul-04,272947
30-Jun-04,269844
31-May-04,268779
30-Apr-04,267617
31-Mar-04,266061
29-Feb-04,267850
31-Jan-04,265424
31-Dec-03,263836
30-Nov-03,261336
31-Oct-03,259120
30-Sep-03,258930
31-Aug-03,259270
31-Jul-03,259606
30-Jun-03,261009
31-May-03,259696
30-Apr-03,257966
31-Mar-03,255906
28-Feb-03,254447
31-Jan-03,252815
31-Dec-02,253913
30-Nov-02,249085
31-Oct-02,246502
30-Sep-02,240587
31-Aug-02,239460
31-Jul-02,236503
30-Jun-02,234306
31-May-02,232375
30-Apr-02,229000
31-Mar-02,229448
28-Feb-02,228306
31-Jan-02,227837
31-Dec-01,228714
30-Nov-01,229099
31-Oct-01,229013
30-Sep-01,227998
31-Aug-01,226003
31-Jul-01,224283
30-Jun-01,222120
31-May-01,217366
30-Apr-01,219108
31-Mar-01,217536
28-Feb-01,215268
31-Jan-01,212863
31-Dec-00,209007
30-Nov-00,206444
31-Oct-00,206367
30-Sep-00,204752
31-Aug-00,202889
31-Jul-00,199832
30-Jun-00,198093
31-May-00,199757
30-Apr-00,194485
31-Mar-00,190146
29-Feb-00,187398
31-Jan-00,185991
31-Dec-99,184505
30-Nov-99,181871
31-Oct-99,179275
30-Sep-99,178132
31-Aug-99,177193
31-Jul-99,177266
30-Jun-99,177389
31-May-99,177690
30-Apr-99,177274
31-Mar-99,175720
28-Feb-99,176160
31-Jan-99,175230
31-Dec-98,174582
30-Nov-98,174425
31-Oct-98,172206
30-Sep-98,172864
31-Aug-98,171830
31-Jul-98,171221
30-Jun-98,170448
31-May-98,169658
30-Apr-98,169547
31-Mar-98,169681
28-Feb-98,172366
31-Jan-98,168846
31-Dec-97,168343
30-Nov-97,168218
31-Oct-97,168183
30-Sep-97,167712
