Date,Value
31 Dec 24,1471.93
30 Nov 24,1472.59
31 Oct 24,1470.09
30 Sep 24,1467.52
31 Aug 24,1464.77
31 Jul 24,1462.21
30 Jun 24,1459.64
31 May 24,1457.43
30 Apr 24,1457.21
31 Mar 24,1455.18
29 Feb 24,1454.97
31 Jan 24,1453.42
31 Dec 23,1452.58
30 Nov 23,1453.89
31 Oct 23,1454.54
30 Sep 23,1454.09
31 Aug 23,1454.91
31 Jul 23,1454.02
30 Jun 23,1453.16
31 May 23,1453.62
30 Apr 23,1453.17
31 Mar 23,1454.18
28 Feb 23,1451.66
31 Jan 23,1451.00
31 Dec 22,1448.45
30 Nov 22,1444.80
31 Oct 22,1441.04
30 Sep 22,1437.47
31 Aug 22,1431.59
31 Jul 22,1426.70
30 Jun 22,1422.33
31 May 22,1417.84
30 Apr 22,1411.84
31 Mar 22,1407.54
28 Feb 22,1401.11
31 Jan 22,1396.60
31 Dec 21,1390.55
30 Nov 21,1387.40
31 Oct 21,1384.25
30 Sep 21,1382.05
31 Aug 21,1373.35
31 Jul 21,1370.83
30 Jun 21,1372.81
31 May 21,1357.10
30 Apr 21,1352.92
31 Mar 21,1350.22
28 Feb 21,1340.09
31 Jan 21,1333.79
31 Dec 20,1328.26
30 Nov 20,1322.51
31 Oct 20,1316.43
30 Sep 20,1311.30
31 Aug 20,1307.06
31 Jul 20,1304.42
30 Jun 20,1302.28
31 May 20,1301.05
30 Apr 20,1301.06
31 Mar 20,1301.25
29 Feb 20,1297.32
31 Jan 20,1293.54
31 Dec 19,1289.85
30 Nov 19,1283.81
31 Oct 19,1280.53
30 Sep 19,1276.49
31 Aug 19,1273.00
31 Jul 19,1268.88
30 Jun 19,1265.00
31 May 19,1261.99
30 Apr 19,1259.64
31 Mar 19,1256.04
28 Feb 19,1252.69
31 Jan 19,1249.26
31 Dec 18,1246.28
30 Nov 18,1243.03
31 Oct 18,1240.03
30 Sep 18,1233.43
31 Aug 18,1229.49
31 Jul 18,1226.90
30 Jun 18,1223.56
31 May 18,1220.39
30 Apr 18,1217.55
31 Mar 18,1214.69
28 Feb 18,1210.34
31 Jan 18,1207.71
31 Dec 17,1204.68
30 Nov 17,1201.52
31 Oct 17,1197.89
30 Sep 17,1194.94
31 Aug 17,1185.48
31 Jul 17,1181.78
30 Jun 17,1178.35
31 May 17,1173.89
30 Apr 17,1169.49
31 Mar 17,1166.46
28 Feb 17,1162.91
31 Jan 17,1159.01
31 Dec 16,1155.25
30 Nov 16,1152.93
31 Oct 16,1150.84
30 Sep 16,1147.08
31 Aug 16,1143.30
31 Jul 16,1140.06
30 Jun 16,1136.94
31 May 16,1133.91
30 Apr 16,1131.31
31 Mar 16,1123.61
29 Feb 16,1117.03
31 Jan 16,1113.70
31 Dec 15,1109.89
30 Nov 15,1104.24
31 Oct 15,1099.99
30 Sep 15,1096.44
31 Aug 15,1093.23
31 Jul 15,1089.81
30 Jun 15,1086.40
31 May 15,1083.63
30 Apr 15,1081.29
31 Mar 15,1079.39
28 Feb 15,1077.82
31 Jan 15,1074.49
31 Dec 14,1074.63
30 Nov 14,1072.90
31 Oct 14,1070.72
30 Sep 14,1069.08
31 Aug 14,1067.06
31 Jul 14,1065.28
30 Jun 14,1063.03
31 May 14,1060.94
30 Apr 14,1059.09
31 Mar 14,1056.38
28 Feb 14,1053.46
