Country,Year,Value
Canada,1990,21.0
Germany,1990,21.0
Spain,1990,19.0
France,1990,21.0
United Kingdom,1990,21.0
Italy,1990,20.5
Japan,1990,21.0
United States,1990,21.0
Canada,1991,21.0
Germany,1991,21.0
Spain,1991,19.0
France,1991,21.0
United Kingdom,1991,21.0
Italy,1991,20.25
Japan,1991,21.0
United States,1991,21.0
Canada,1992,20.89
Germany,1992,21.0
Spain,1992,19.0
France,1992,21.0
United Kingdom,1992,21.0
Italy,1992,19.61
Japan,1992,21.0
United States,1992,21.0
Canada,1993,20.5
Germany,1993,21.0
Spain,1993,19.0
France,1993,21.0
United Kingdom,1993,21.0
Italy,1993,18.25
Japan,1993,21.0
United States,1993,21.0
Canada,1994,19.81
Germany,1994,21.0
Spain,1994,19.0
France,1994,21.0
United Kingdom,1994,21.0
Italy,1994,18.33
Japan,1994,21.0
United States,1994,21.0
Canada,1995,19.43
Germany,1995,21.0
Spain,1995,19.0
France,1995,21.0
United Kingdom,1995,21.0
Italy,1995,18.05
Japan,1995,21.0
United States,1995,21.0
Canada,1996,19.33
Germany,1996,21.0
Spain,1996,19.0
France,1996,21.0
United Kingdom,1996,21.0
Italy,1996,18.17
Japan,1996,21.0
United States,1996,21.0
Canada,1997,19.33
Germany,1997,21.0
Spain,1997,19.0
France,1997,21.0
United Kingdom,1997,21.0
Italy,1997,18.33
Japan,1997,21.0
United States,1997,21.0
Canada,1998,19.33
Germany,1998,21.0
Spain,1998,19.0
France,1998,21.0
United Kingdom,1998,21.0
Italy,1998,18.33
Japan,1998,20.86
United States,1998,21.0
Canada,1999,19.33
Germany,1999,21.0
Spain,1999,19.36
France,1999,21.0
United Kingdom,1999,21.0
Italy,1999,18.33
Japan,1999,20.33
United States,1999,21.0
Canada,2000,19.51
Germany,2000,21.0
Spain,2000,19.67
France,2000,21.0
United Kingdom,2000,21.0
Italy,2000,18.33
Japan,2000,20.33
United States,2000,21.0
Canada,2001,19.92
Germany,2001,21.0
Spain,2001,19.7
France,2001,21.0
United Kingdom,2001,21.0
Italy,2001,18.33
Japan,2001,19.98
United States,2001,21.0
Canada,2002,20.36
Germany,2002,21.0
Spain,2002,20.33
France,2002,21.0
United Kingdom,2002,21.0
Italy,2002,18.73
Japan,2002,19.09
